Resource,East_batteries_1,East_conventional_hydroelectric_1,East_landfill_gas_1,East_natural_gas_internal_combustion_engine_1,East_petroleum_liquids_with_gt_1,East_petroleum_liquids_with_ic_1,East_solar_photovoltaic_1,North_conventional_hydroelectric_1,North_landfill_gas_1,North_natural_gas_internal_combustion_engine_1,North_onshore_wind_turbine_1,North_petroleum_liquids_with_cc_1,North_petroleum_liquids_with_gt_1,North_petroleum_liquids_with_st_1,North_solar_photovoltaic_1,South_batteries_1,South_conventional_hydroelectric_1,South_natural_gas_fired_combined_cycle_1,South_natural_gas_steam_turbine_1,South_onshore_wind_turbine_1,South_petroleum_liquids_with_gt_1,South_petroleum_liquids_with_st_1,South_solar_photovoltaic_1,West_batteries_1,West_petroleum_liquids_with_gt_1,West_petroleum_liquids_with_ic_1,West_solar_photovoltaic_1,East_battery_moderate_0,East_naturalgas_ctavgcf_moderate_0,East_naturalgas_ccavgcf_moderate_0,East_microgrid_solar_moderate_0,East_microgrid_diesel_moderate_0,East_utilitypv_class1_moderate_1,East_landbasedwind_class3_moderate_1,North_battery_moderate_0,North_naturalgas_ctavgcf_moderate_0,North_naturalgas_ccavgcf_moderate_0,North_microgrid_solar_moderate_0,North_microgrid_diesel_moderate_0,North_utilitypv_class1_moderate_1,North_landbasedwind_class3_moderate_1,South_battery_moderate_0,South_naturalgas_ctavgcf_moderate_0,South_naturalgas_ccavgcf_moderate_0,South_microgrid_solar_moderate_0,South_microgrid_diesel_moderate_0,South_utilitypv_class1_moderate_1,South_landbasedwind_class3_moderate_1,West_battery_moderate_0,West_naturalgas_ctavgcf_moderate_0,West_naturalgas_ccavgcf_moderate_0,West_microgrid_solar_moderate_0,West_microgrid_diesel_moderate_0,West_utilitypv_class1_moderate_1,West_landbasedwind_class3_moderate_1,Total
Zone,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,0
AnnualSum,9.693013289377451e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.062510175454895e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1883961403017628e-8,0.0,0.0,0.0,1.057016459951471e-8,0.0,0.0,0.0,0.0,0.0,0.0,9.602515924441334e-9,0.0,0.0,0.0,0.0,0.0,0.0,1.0447568471076009e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.166230918184235e-8,0.0,0.0,0.0,0.0,0.0,0.0,7.448463462381844e-8
t1,8.951559438032317e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0859116254659708e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2066142050666187e-8,0.0,0.0,0.0,1.0071253889626372e-8,0.0,0.0,0.0,0.0,0.0,0.0,9.68059838160313e-9,0.0,0.0,0.0,0.0,0.0,0.0,1.0312702733500397e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.160194620404448e-8,0.0,0.0,0.0,0.0,0.0,0.0,7.354331895213258e-8
t2,7.953041833313763e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0747150829190188e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1979279622006587e-8,0.0,0.0,0.0,1.014885125719521e-8,0.0,0.0,0.0,0.0,0.0,0.0,9.7089234885996e-9,0.0,0.0,0.0,0.0,0.0,0.0,1.0375794888491916e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.1708082057689658e-8,0.0,0.0,0.0,0.0,0.0,0.0,7.262112397648692e-8
t3,7.8787497791433e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.068957517851579e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1934243579833996e-8,0.0,0.0,0.0,1.0199374378937463e-8,0.0,0.0,0.0,0.0,0.0,0.0,9.698900139275828e-9,0.0,0.0,0.0,0.0,0.0,0.0,1.0417962954884698e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.1771610526893932e-8,0.0,0.0,0.0,0.0,0.0,0.0,7.259041653748501e-8
t4,8.031426680922348e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0662467681505431e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1914959534983268e-8,0.0,0.0,0.0,1.0243638261442441e-8,0.0,0.0,0.0,0.0,0.0,0.0,9.688474454505402e-9,0.0,0.0,0.0,0.0,0.0,0.0,1.0448333361828736e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.180974099526709e-8,0.0,0.0,0.0,0.0,0.0,0.0,7.279904097045472e-8
t5,8.219582000691158e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0646712096462493e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1902019432691848e-8,0.0,0.0,0.0,1.0274149925533768e-8,0.0,0.0,0.0,0.0,0.0,0.0,9.675696597360856e-9,0.0,0.0,0.0,0.0,0.0,0.0,1.045838444652938e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.1823802874173971e-8,0.0,0.0,0.0,0.0,0.0,0.0,7.300034737344347e-8
t6,8.395517822129429e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0636617849777307e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1893596598596057e-8,0.0,0.0,0.0,1.0294739884893667e-8,0.0,0.0,0.0,0.0,0.0,0.0,9.657552512320684e-9,0.0,0.0,0.0,0.0,0.0,0.0,1.0451554591943693e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.182580108874692e-8,0.0,0.0,0.0,0.0,0.0,0.0,7.315538034840776e-8
t7,8.549177198235587e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0627715454770439e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1879039312626716e-8,0.0,0.0,0.0,1.0298078700329303e-8,0.0,0.0,0.0,0.0,0.0,0.0,9.633727603310606e-9,0.0,0.0,0.0,0.0,0.0,0.0,1.0427811503872137e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.1821644127006922e-8,0.0,0.0,0.0,0.0,0.0,0.0,7.32371939001517e-8
t8,8.68220171563561e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0623084068537144e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1881464663629428e-8,0.0,0.0,0.0,1.0335579507460521e-8,0.0,0.0,0.0,0.0,0.0,0.0,9.628269656734479e-9,0.0,0.0,0.0,0.0,0.0,0.0,1.0409650427325162e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.181680580370184e-8,0.0,0.0,0.0,0.0,0.0,0.0,7.337705584302418e-8
t9,8.79680330862005e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0630674253229656e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1890242233673014e-8,0.0,0.0,0.0,1.0385485462826496e-8,0.0,0.0,0.0,0.0,0.0,0.0,9.63538528648607e-9,0.0,0.0,0.0,0.0,0.0,0.0,1.0433343575772739e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.1856746837496423e-8,0.0,0.0,0.0,0.0,0.0,0.0,7.362868095810445e-8
t10,8.893487426611795e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0631406945718734e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1888575920313945e-8,0.0,0.0,0.0,1.0424387883203048e-8,0.0,0.0,0.0,0.0,0.0,0.0,9.670977953769991e-9,0.0,0.0,0.0,0.0,0.0,0.0,1.0472795417952549e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.1894823950092973e-8,0.0,0.0,0.0,0.0,0.0,0.0,7.387645549766304e-8
t11,8.964506276682474e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0602300339558549e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.184421389550438e-8,0.0,0.0,0.0,1.046279482355482e-8,0.0,0.0,0.0,0.0,0.0,0.0,9.723198630320697e-9,0.0,0.0,0.0,0.0,0.0,0.0,1.053137393658726e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.1967989271302805e-8,0.0,0.0,0.0,0.0,0.0,0.0,7.409637717351099e-8
t12,9.03382200705249e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0594533806034104e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1832242521009144e-8,0.0,0.0,0.0,1.0522372963914748e-8,0.0,0.0,0.0,0.0,0.0,0.0,9.76472927637338e-9,0.0,0.0,0.0,0.0,0.0,0.0,1.0564748799255769e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.1979871504033342e-8,0.0,0.0,0.0,0.0,0.0,0.0,7.429232087767297e-8
t13,9.11334877423164e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.062836623564912e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1883640861959612e-8,0.0,0.0,0.0,1.0457145455280134e-8,0.0,0.0,0.0,0.0,0.0,0.0,9.64689828624176e-9,0.0,0.0,0.0,0.0,0.0,0.0,1.046701063433865e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.1792311693376597e-8,0.0,0.0,0.0,0.0,0.0,0.0,7.398872194107752e-8
t14,9.16754946326273e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0621369271023994e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1874992242363537e-8,0.0,0.0,0.0,1.0457666375819641e-8,0.0,0.0,0.0,0.0,0.0,0.0,9.626664820060198e-9,0.0,0.0,0.0,0.0,0.0,0.0,1.0454170997343427e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.1747898813026936e-8,0.0,0.0,0.0,0.0,0.0,0.0,7.395031198290046e-8
t15,9.215822946575418e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0617176194874463e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1870265793825555e-8,0.0,0.0,0.0,1.0444330857980512e-8,0.0,0.0,0.0,0.0,0.0,0.0,9.608740179188642e-9,0.0,0.0,0.0,0.0,0.0,0.0,1.044297520727975e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.17085655413949e-8,0.0,0.0,0.0,0.0,0.0,0.0,7.390787672111923e-8
t16,9.259731526170073e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0617306978160918e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1870999272923e-8,0.0,0.0,0.0,1.0450941380116507e-8,0.0,0.0,0.0,0.0,0.0,0.0,9.609283106302833e-9,0.0,0.0,0.0,0.0,0.0,0.0,1.0449102211037808e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.1690589824656572e-8,0.0,0.0,0.0,0.0,0.0,0.0,7.394795429936771e-8
t17,9.301842243338759e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0618666191650227e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.187248434787155e-8,0.0,0.0,0.0,1.0446323752806092e-8,0.0,0.0,0.0,0.0,0.0,0.0,9.61505990415539e-9,0.0,0.0,0.0,0.0,0.0,0.0,1.0462183814591056e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.1676635072142046e-8,0.0,0.0,0.0,0.0,0.0,0.0,7.399319532655512e-8
t18,9.33906244907263e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0617084870286457e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1871727560132913e-8,0.0,0.0,0.0,1.0439124320000498e-8,0.0,0.0,0.0,0.0,0.0,0.0,9.606647109234024e-9,0.0,0.0,0.0,0.0,0.0,0.0,1.045628505785255e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.1662504639591009e-8,0.0,0.0,0.0,0.0,0.0,0.0,7.399243600617008e-8
t19,9.371838973873189e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0619860077672481e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1868254509490543e-8,0.0,0.0,0.0,1.0424741967819315e-8,0.0,0.0,0.0,0.0,0.0,0.0,9.595608201762872e-9,0.0,0.0,0.0,0.0,0.0,0.0,1.046468819128589e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.1696994944444109e-8,0.0,0.0,0.0,0.0,0.0,0.0,7.40419868663484e-8
t20,9.40081336194911e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0620192020354002e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1872404343959713e-8,0.0,0.0,0.0,1.0437202877242067e-8,0.0,0.0,0.0,0.0,0.0,0.0,9.59101510675366e-9,0.0,0.0,0.0,0.0,0.0,0.0,1.0459377001769937e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.1714823825113161e-8,0.0,0.0,0.0,0.0,0.0,0.0,7.409582853714164e-8
t21,9.426748868870965e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0620656092482259e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1874810165054747e-8,0.0,0.0,0.0,1.0450829060073772e-8,0.0,0.0,0.0,0.0,0.0,0.0,9.58868731459044e-9,0.0,0.0,0.0,0.0,0.0,0.0,1.045525016453e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.1727389068426878e-8,0.0,0.0,0.0,0.0,0.0,0.0,7.414437073402906e-8
t22,9.452229513221676e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0620229271775736e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.187395010775013e-8,0.0,0.0,0.0,1.0449738837570853e-8,0.0,0.0,0.0,0.0,0.0,0.0,9.589043565954455e-9,0.0,0.0,0.0,0.0,0.0,0.0,1.0448184009129772e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.172384549629911e-8,0.0,0.0,0.0,0.0,0.0,0.0,7.415722080170173e-8
t23,9.47396442334961e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0615814085651216e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1867814450760624e-8,0.0,0.0,0.0,1.043886810599004e-8,0.0,0.0,0.0,0.0,0.0,0.0,9.58272317622912e-9,0.0,0.0,0.0,0.0,0.0,0.0,1.0438685569696146e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.1711870061313645e-8,0.0,0.0,0.0,0.0,0.0,0.0,7.41297398729904e-8
t24,9.494749265498938e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0615796974448436e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1868482802748495e-8,0.0,0.0,0.0,1.0445264868189058e-8,0.0,0.0,0.0,0.0,0.0,0.0,9.580597134970957e-9,0.0,0.0,0.0,0.0,0.0,0.0,1.0438451605992325e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.1712084292350407e-8,0.0,0.0,0.0,0.0,0.0,0.0,7.415542694419861e-8
t25,9.514445739269044e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0616788656809374e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1870698186662799e-8,0.0,0.0,0.0,1.045535172335097e-8,0.0,0.0,0.0,0.0,0.0,0.0,9.580274866600672e-9,0.0,0.0,0.0,0.0,0.0,0.0,1.0441107520553986e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.1713220012772656e-8,0.0,0.0,0.0,0.0,0.0,0.0,7.41918867060195e-8
t26,9.533012332412102e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0617612969932395e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.187256575219453e-8,0.0,0.0,0.0,1.0465645523297149e-8,0.0,0.0,0.0,0.0,0.0,0.0,9.581279120373112e-9,0.0,0.0,0.0,0.0,0.0,0.0,1.044417452618318e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.1713410328981797e-8,0.0,0.0,0.0,0.0,0.0,0.0,7.422770055337427e-8
t27,9.55063202849649e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0618408014566487e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1874168014048017e-8,0.0,0.0,0.0,1.0475929400232249e-8,0.0,0.0,0.0,0.0,0.0,0.0,9.583062960032443e-9,0.0,0.0,0.0,0.0,0.0,0.0,1.0447227312640185e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.1713021664439245e-8,0.0,0.0,0.0,0.0,0.0,0.0,7.426244939445511e-8
