Zone,1,2,3,4,Total
AnnualSum,1.745297530938829,12.278424885613028,514.993334357743,0.0006661905983503138,529.0177229648933
t1,1.7472069832106634,12.28071194059748,509.6238505576849,0.0006560127499688765,523.652425494243
t2,1.746724539827507,12.280254777953909,509.56748735522285,0.0006573487155156559,523.5951240217198
t3,1.746347671010163,12.279874343089212,509.5250815783624,0.0006577288271800084,523.5519613212889
t4,1.7460422755292406,12.279557162206427,509.4964115764459,0.0006579867790469408,523.5226690009606
t5,1.7457835743426067,12.27929691358134,509.47946940594244,0.0006581177879413599,523.5052080116543
t6,1.745556530369883,12.279073824369446,509.4501660758318,0.0006582892572619682,523.4754547198283
t7,1.7453479488175518,12.27891033224224,509.3947939687168,0.0006585071172956708,523.4197107568939
t8,1.7451333994356193,12.278638173185696,509.4640374865833,0.0006587789852393166,523.4884678381899
t9,1.743954168426302,12.277572733766675,441.8911114732743,0.000657766294829433,455.9132961417621
t10,1.7438098312603227,12.277396629020098,351.169500611839,0.0006579264309585096,365.1913649985504
t11,1.7437158287249908,12.276435128014963,272.15241413178654,0.0006579481521278312,286.1732230366786
t12,1.7436620826514775,12.276395187926356,273.6961548028245,0.0006582037659093319,287.7168702771682
t13,1.7436398093927554,12.277242415831727,340.9756299881543,0.0006582529204710501,354.9971704662992
t14,1.743661002706924,12.277313180433447,410.62335701472233,0.0006585171893450615,424.644989715052
t15,1.743723964716974,12.277410016437567,476.253499315787,0.0006586548608406884,490.2752919518024
t16,1.7448074240800049,12.27838929360548,509.42759450233433,0.0006595484458031903,523.4514507684656
t17,1.7448817472865972,12.278448064663062,509.4374023543422,0.0006593854767963269,523.4613915517687
t18,1.7449490067856621,12.278517594043187,509.44895704400784,0.000659477769110514,523.4730831226058
t19,1.7450097657304158,12.278574977829953,509.44879537724705,0.0006595264926553657,523.4730396473001
t20,1.7450589492400967,12.278617871212221,509.44734294460767,0.0006596516166320684,523.4716794166766
t21,1.7451043285327057,12.278649005497762,509.44583295474234,0.0006597580262440206,523.470246046799
t22,1.7451793247065177,12.27868397267034,509.4566663482504,0.0006598646977911675,523.4811895103251
t23,1.7454826332431725,12.278708875335283,528.0198724436511,0.0006599813778971298,542.0447239336075
t24,1.7455068089870225,12.278718404634127,535.176703995859,0.0006600994239407635,549.2015893089041
t25,1.7455046690310803,12.278717166699112,532.3945376454585,0.0006602037098661345,546.4194196848986
t26,1.7454815735309392,12.27870737046182,525.8913666869486,0.000660299332366129,539.9162159302737
t27,1.7454281654852326,12.278688516364955,516.3398180251754,0.0006603867649421762,530.3645950937905
t28,1.7451491433033166,12.278658251713235,509.45317870229246,0.0006604650393589133,523.4776465623484
t29,1.7450460256507405,12.278614540626867,509.4389081247945,0.0006605402143841807,523.4632292312865
t30,1.7449750160355046,12.27856251401957,509.4334191387996,0.0006606191895884688,523.4576172880443
t31,1.7449014161167409,12.278498398029836,509.4297156389567,0.0006606918889914024,523.4537761449923
t32,1.7448193419541043,12.278424099991062,509.4237284336395,0.0006607538839400529,523.4476326294686
t33,1.7437391007400096,12.277502607277,481.96101922628407,0.0006603320282395822,495.9829212663293
t34,1.7436888037105183,12.277449823163305,405.7798358101688,0.0006607538789788196,419.8016351909216
t35,1.7436836182626847,12.27743106684448,351.3408942440743,0.0006607351699762711,365.3626696643514
t36,1.7437215934524508,12.277473655085661,397.71655002958255,0.0006610472164307028,411.7384063253371
t37,1.7438175924122064,12.277568131932169,499.7016897492448,0.0006612783078626444,513.723736751897
t38,1.744914635595123,12.278479842800323,509.43828956609747,0.0006619855185552533,523.4623460300115
t39,1.7450194960975642,12.278566604095309,509.4458888011076,0.0006619288835218727,523.4701368301841
t40,1.7451173419652988,12.278641584789133,509.4408188536967,0.0006618479378808543,523.465239628389
t41,1.7452216471293986,12.278699261845514,509.44496303041944,0.000661877275182493,523.4695458166696
t42,1.7455778595394924,12.278744023673973,520.0479010579463,0.0006620339434775475,534.0728849751033
t43,1.7456651904747102,12.27877923350801,529.5632769252338,0.0006621851658690956,543.5883835343824
t44,1.7457273901044366,12.278806626735113,530.1379855287262,0.0006623234371659381,544.1631818690029
t45,1.7457780051396645,12.278827416974172,528.7360158019278,0.000662466348349974,542.76128369039
t46,1.7458296964881308,12.278847937198668,536.3634144874834,0.000662585104990898,550.3887547062752
