Resource,East_batteries_1,East_conventional_hydroelectric_1,East_landfill_gas_1,East_natural_gas_internal_combustion_engine_1,East_petroleum_liquids_with_gt_1,East_petroleum_liquids_with_ic_1,East_solar_photovoltaic_1,North_conventional_hydroelectric_1,North_landfill_gas_1,North_natural_gas_internal_combustion_engine_1,North_onshore_wind_turbine_1,North_petroleum_liquids_with_cc_1,North_petroleum_liquids_with_gt_1,North_petroleum_liquids_with_st_1,North_solar_photovoltaic_1,South_batteries_1,South_conventional_hydroelectric_1,South_natural_gas_fired_combined_cycle_1,South_natural_gas_steam_turbine_1,South_onshore_wind_turbine_1,South_petroleum_liquids_with_gt_1,South_petroleum_liquids_with_st_1,South_solar_photovoltaic_1,West_batteries_1,West_petroleum_liquids_with_gt_1,West_petroleum_liquids_with_ic_1,West_solar_photovoltaic_1,East_battery_moderate_0,East_naturalgas_ctavgcf_moderate_0,East_naturalgas_ccavgcf_moderate_0,East_microgrid_solar_moderate_0,East_microgrid_diesel_moderate_0,East_utilitypv_class1_moderate_1,East_landbasedwind_class3_moderate_1,North_battery_moderate_0,North_naturalgas_ctavgcf_moderate_0,North_naturalgas_ccavgcf_moderate_0,North_microgrid_solar_moderate_0,North_microgrid_diesel_moderate_0,North_utilitypv_class1_moderate_1,North_landbasedwind_class3_moderate_1,South_battery_moderate_0,South_naturalgas_ctavgcf_moderate_0,South_naturalgas_ccavgcf_moderate_0,South_microgrid_solar_moderate_0,South_microgrid_diesel_moderate_0,South_utilitypv_class1_moderate_1,South_landbasedwind_class3_moderate_1,West_battery_moderate_0,West_naturalgas_ctavgcf_moderate_0,West_naturalgas_ccavgcf_moderate_0,West_microgrid_solar_moderate_0,West_microgrid_diesel_moderate_0,West_utilitypv_class1_moderate_1,West_landbasedwind_class3_moderate_1,North_to_south_underground_line,North_to_east_underground_line,South_to_west_underground_line,Total
t9,0.12256712068619911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46857188516494325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3776954166842121,0.0,0.0,0.0,9.227989493805226e-6,0.0,0.0,0.0,0.0,0.0,0.0,40.50286747458412,0.0,0.0,0.0,0.0,0.0,0.0,9.233380222852087e-6,0.0,0.0,0.0,0.0,0.0,0.0,9.233850559285597e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.471729592339756
t10,0.038410044296614966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17628123967894727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5552634124448776,0.0,0.0,0.0,9.262428577826486e-6,0.0,0.0,0.0,0.0,0.0,0.0,91.45423764650573,0.0,0.0,0.0,0.0,0.0,0.0,9.27440068420118e-6,0.0,0.0,0.0,0.0,0.0,0.0,9.273353821196421e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.22422015310926
t11,0.027489719811360436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12408517315311748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44468453102464933,0.0,0.0,0.0,9.286197618566954e-6,0.0,0.0,0.0,0.0,0.0,0.0,165.66701556308615,0.0,0.0,0.0,0.0,0.0,0.0,9.301267424323828e-6,0.0,0.0,0.0,0.0,0.0,0.0,9.299492006097158e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.26330287403235
t12,0.023547355248611273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1050745445548004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39826942344996064,0.0,0.0,0.0,9.288027913271322e-6,0.0,0.0,0.0,0.0,0.0,0.0,177.3741861821841,0.0,0.0,0.0,0.0,0.0,0.0,9.303825021415397e-6,0.0,0.0,0.0,0.0,0.0,0.0,9.301441614462177e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.90110539873203
t13,0.02197485736473106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09978949935302428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37444933368427746,0.0,0.0,0.0,9.275390425885556e-6,0.0,0.0,0.0,0.0,0.0,0.0,136.94327538581697,0.0,0.0,0.0,0.0,0.0,0.0,9.288277040251576e-6,0.0,0.0,0.0,0.0,0.0,0.0,9.286962545232628e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.43951692684902
t14,0.022244296411931118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10423275066680222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37339334553962933,0.0,0.0,0.0,9.258984102582558e-6,0.0,0.0,0.0,0.0,0.0,0.0,89.35559027628695,0.0,0.0,0.0,0.0,0.0,0.0,9.272309242376164e-6,0.0,0.0,0.0,0.0,0.0,0.0,9.27129360670776e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.85548847149225
t15,0.025811074887895524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12364346372789589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40972780579076845,0.0,0.0,0.0,9.22935742343964e-6,0.0,0.0,0.0,0.0,0.0,0.0,54.116390841366176,0.0,0.0,0.0,0.0,0.0,0.0,9.240418322920169e-6,0.0,0.0,0.0,0.0,0.0,0.0,9.239794102490164e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.67560089534259
t16,0.04402365484059852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21136257897365113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6317320461457636,0.0,0.0,0.0,9.13300723934162e-6,0.0,0.0,0.0,0.0,0.0,0.0,19.523743763931268,0.0,0.0,0.0,0.0,0.0,0.0,9.121548775700688e-6,0.0,0.0,0.0,0.0,0.0,0.0,9.123679999275184e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.410889422127294
t17,4.581908042314104e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.235089031348992e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2176207451803395e-9,0.0,0.0,0.0,4.18034849834882e-9,0.0,0.0,0.0,0.0,0.0,0.0,4.099397374574114e-9,0.0,0.0,0.0,0.0,0.0,0.0,4.180353307421612e-9,0.0,0.0,0.0,0.0,0.0,0.0,4.180355039231167e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9675072038419147e-8
t18,4.414959530686659e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2285356115815206e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.217190463706844e-9,0.0,0.0,0.0,4.18032929966748e-9,0.0,0.0,0.0,0.0,0.0,0.0,4.099379295050563e-9,0.0,0.0,0.0,0.0,0.0,0.0,4.18033203849337e-9,0.0,0.0,0.0,0.0,0.0,0.0,4.180334544734748e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9501060783921187e-8
