region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,SubsidyRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
West,West_petroleum_liquids_with_gt_1,4,1,25,0.0,0.0,2.50578440734217e6,0.0,1.1853719595243401e-7,6.692861526011294e-6,0.0,6.005383982776198e-6,0.0,NaN,0.0,0.0002603054088697808,0.0,0.0,0.0,NaN,2.5057844073549868e6,NaN
West,West_petroleum_liquids_with_ic_1,4,1,26,0.0,0.0,75355.61292119551,0.0,8.782491586129168e-8,4.950221667324607e-6,0.0,2.86875970600637e-6,0.0,NaN,0.0,4.273384586238322e-6,0.0,0.0,0.0,NaN,75355.61292910232,NaN
West,West_solar_photovoltaic_1,4,1,27,0.0,0.0,1.0180349994082765e6,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,6.681586104572271e-6,23227.236009189015,0.0,0.0,NaN,1.0180349994082765e6,NaN
East,East_battery_moderate_0,1,0,28,3.70428512755953e7,2.924948914252627e8,1.148328389543454e7,9.066088006783408e7,15.994871649933978,0.0,1.2782476574509518,0.0,NaN,NaN,0.0,-8.792368312715768e-5,0.0,0.0,0.0,NaN,NaN,NaN
East,East_naturalgas_ctavgcf_moderate_0,1,0,29,8.192147851250922e6,0.0,2.403261970220571e6,0.0,1.2450475461962866e-7,2.4203724298055804e-6,0.0,5.243045061745488e-6,0.0,NaN,0.0,0.00013628795868163702,0.0,0.0,0.0,NaN,1.0595409821479281e7,NaN
East,East_naturalgas_ccavgcf_moderate_0,1,0,30,1.8122275140265908e7,0.0,6.144855152493375e6,0.0,4.39672297732255e-8,1.398157906788572e-6,0.0,3.785667522297338e-6,0.0,NaN,0.0,0.00026135408109008565,0.0,0.0,0.0,NaN,2.426713029276451e7,NaN
East,East_microgrid_solar_moderate_0,1,0,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,NaN,0.0,NaN
East,East_microgrid_diesel_moderate_0,1,0,32,379453.56657236075,0.0,24440.596492274217,0.0,3.2310033658819675e-8,2.3068717831724078e-6,0.0,104.23306318496192,0.0,NaN,0.0,0.0,0.0,0.0,0.0,NaN,403998.3961301591,NaN
East,East_utilitypv_class1_moderate_1,1,1,33,3.650558706102905e6,0.0,1.049017401753719e6,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,9.238733062099589e-6,30942.55272706803,0.0,0.0,NaN,4.699576107856624e6,NaN
East,East_landbasedwind_class3_moderate_1,1,1,34,1.3339846008390669e7,0.0,6.8220230042910045e6,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,5.5437649834837773e-5,249458.6267990778,0.0,0.0,NaN,2.0161869012681674e7,NaN
North,North_battery_moderate_0,2,0,35,3.693504808740225e7,2.915507844955084e8,1.1449864907094697e7,9.036824738384911e7,15.948239890788425,0.0,1.2832859149297897,0.0,NaN,NaN,0.0,-8.271975615263057e-5,0.0,0.0,0.0,NaN,NaN,NaN
North,North_naturalgas_ctavgcf_moderate_0,2,0,36,8.239589440962185e6,0.0,2.4171795130225453e6,0.0,1.2524192569473218e-7,2.434703035505595e-6,0.0,5.190438098823836e-6,0.0,NaN,0.0,0.00013707721658271022,0.0,0.0,0.0,NaN,1.065676895399248e7,NaN
North,North_naturalgas_ccavgcf_moderate_0,2,0,37,1.8310280447119165e7,0.0,6.208603515740904e6,0.0,4.593703810029461e-8,1.46079781158937e-6,0.0,3.828057254040482e-6,0.0,NaN,0.0,0.0002640654379055176,0.0,0.0,0.0,NaN,2.4518883962865405e7,NaN
North,North_microgrid_solar_moderate_0,2,0,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,NaN,0.0,NaN
