BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4
t12,209.48930000000001,0.0,-0.0,0.0,0.0,0.0,0.0,82.4049,-22.894200000000005,-269.0,199.68710000000004,0.0,-0.0,0.0,0.0,0.0,0.0,697.3623499999999,-23.049450000000004,-874.0,382.121,3214.3909937301805,-2773.8960937301813,0.0,0.0,0.0,0.0,-614.5019,-21.114,-187.0,282.0604,0.0,-0.0,0.0,0.0,0.0,0.0,-165.26535000000004,-10.79505,-106.0
t13,203.92600000000002,0.0,-0.0,0.0,0.0,0.0,0.0,103.96820000000018,-22.894200000000005,-285.0,200.3314,0.0,-0.0,0.0,0.0,0.0,0.0,744.7180500000002,-23.049450000000004,-922.0,342.86449999999996,570.1906434782611,-1.4130434782608694,0.0,0.0,0.0,0.0,-694.5281000000003,-21.114,-196.0,275.95320000000004,0.0,-0.0,0.0,0.0,0.0,0.0,-154.15815,-10.79505,-111.0
t14,192.31320000000002,0.0,-0.0,0.0,0.0,0.0,0.0,129.58099999999968,-22.894200000000005,-299.0,187.8632,0.0,-0.0,0.0,0.0,0.0,0.0,798.18625,-23.049450000000004,-963.0,325.4627,4314.466922229594,-3626.1565222295944,0.0,0.0,0.0,0.0,-788.6590999999995,-21.114,-204.0,265.9032,0.0,-0.0,0.0,0.0,0.0,0.0,-139.10815000000002,-10.79505,-116.0
t15,180.50700000000003,0.0,-0.0,0.0,0.0,0.0,0.0,151.38720000000006,-22.894200000000005,-309.0,179.293,0.0,-0.0,0.0,0.0,0.0,0.0,839.7564500000002,-23.049450000000004,-996.0,333.9606999999999,4355.584643968725,-3585.2558439687245,0.0,0.0,0.0,0.0,-873.1755000000003,-21.114,-210.0,248.76319999999998,0.0,-0.0,0.0,0.0,0.0,0.0,-117.96814999999994,-10.79505,-120.0
t16,166.86050000000003,0.0,-0.0,0.0,0.0,0.0,0.0,167.03369999999984,-22.894200000000005,-311.0,165.3523,0.0,-0.0,0.0,0.0,0.0,0.0,858.69715,-23.049450000000004,-1000.9999999999999,304.40099999999995,4399.857172229594,-3539.570272229594,0.0,0.0,0.0,0.0,-932.5738999999996,-21.114,-211.0,223.952,0.0,-0.0,0.0,0.0,0.0,0.0,-93.15695,-10.79505,-120.0
t17,141.00630000000004,0.0,-0.0,0.0,0.0,0.0,0.0,198.88790000000046,-22.894200000000005,-317.0,138.22390000000001,0.0,-0.0,0.0,0.0,0.0,0.0,904.82555,-23.049450000000004,-1020.0,228.99269999999999,4498.615222229595,-3440.8122222295947,0.0,0.0,0.0,0.0,-1050.6817,-21.114,-215.0,186.82680000000002,0.0,-0.0,0.0,0.0,0.0,0.0,-53.03174999999999,-10.79505,-123.0
t18,114.70710000000001,0.0,-0.0,0.0,0.0,0.0,0.0,226.18709999999987,-22.894199999999966,-318.0,111.1135,0.0,-0.0,0.0,0.0,0.0,0.0,933.9359499999999,-23.04944999999997,-1022.0,183.41969999999998,1206.886,-0.0,0.0,0.0,0.0,0.0,-1153.1916999999999,-21.114,-216.0,140.7264,0.0,-0.0,0.0,0.0,0.0,0.0,-6.931350000000003,-10.79505,-123.0
t19,104.95900000000002,0.0,-0.0,0.0,0.0,0.0,0.0,231.9351999999999,-22.894200000000005,-314.0,94.1118,0.0,-0.0,0.0,0.0,0.0,0.0,940.93765,-23.049450000000004,-1012.0,160.8405,4599.219743968724,-3341.620743968725,0.0,0.0,0.0,0.0,-1182.3254999999997,-21.114,-215.0,124.34240000000001,0.0,-0.0,0.0,0.0,0.0,0.0,9.452650000000007,-10.79505,-123.0
t20,105.627,0.0,-0.0,0.0,0.0,0.0,0.0,229.26720000000012,-22.894200000000005,-312.0,91.75880000000001,0.0,-0.0,0.0,0.0,0.0,0.0,937.2906499999999,-23.049450000000004,-1006.0,191.14399999999998,1219.6637,-0.0,0.0,0.0,0.0,0.0,-1175.6937,-21.114,-214.0,123.6592,0.0,-0.0,0.0,0.0,0.0,0.0,9.135850000000056,-10.79505,-122.0
t21,106.319,0.0,-0.0,0.0,0.0,0.0,0.0,227.57519999999997,-22.894200000000005,-311.0,91.3814,0.0,-0.0,0.0,0.0,0.0,0.0,933.66805,-23.049450000000004,-1002.0,197.4475,1205.7287999999999,-0.0,0.0,0.0,0.0,0.0,-1170.0623,-21.114,-212.0,122.976,0.0,-0.0,0.0,0.0,0.0,0.0,8.81905000000005,-10.79505,-121.0
