Resource,East_batteries_1,East_conventional_hydroelectric_1,East_landfill_gas_1,East_natural_gas_internal_combustion_engine_1,East_petroleum_liquids_with_gt_1,East_petroleum_liquids_with_ic_1,East_solar_photovoltaic_1,North_conventional_hydroelectric_1,North_landfill_gas_1,North_natural_gas_internal_combustion_engine_1,North_onshore_wind_turbine_1,North_petroleum_liquids_with_cc_1,North_petroleum_liquids_with_gt_1,North_petroleum_liquids_with_st_1,North_solar_photovoltaic_1,South_batteries_1,South_conventional_hydroelectric_1,South_natural_gas_fired_combined_cycle_1,South_natural_gas_steam_turbine_1,South_onshore_wind_turbine_1,South_petroleum_liquids_with_gt_1,South_petroleum_liquids_with_st_1,South_solar_photovoltaic_1,West_batteries_1,West_petroleum_liquids_with_gt_1,West_petroleum_liquids_with_ic_1,West_solar_photovoltaic_1,East_battery_moderate_0,East_naturalgas_ctavgcf_moderate_0,East_naturalgas_ccavgcf_moderate_0,East_microgrid_solar_moderate_0,East_microgrid_diesel_moderate_0,East_utilitypv_class1_moderate_1,East_landbasedwind_class3_moderate_1,North_battery_moderate_0,North_naturalgas_ctavgcf_moderate_0,North_naturalgas_ccavgcf_moderate_0,North_microgrid_solar_moderate_0,North_microgrid_diesel_moderate_0,North_utilitypv_class1_moderate_1,North_landbasedwind_class3_moderate_1,South_battery_moderate_0,South_naturalgas_ctavgcf_moderate_0,South_naturalgas_ccavgcf_moderate_0,South_microgrid_solar_moderate_0,South_microgrid_diesel_moderate_0,South_utilitypv_class1_moderate_1,South_landbasedwind_class3_moderate_1,West_battery_moderate_0,West_naturalgas_ctavgcf_moderate_0,West_naturalgas_ccavgcf_moderate_0,West_microgrid_solar_moderate_0,West_microgrid_diesel_moderate_0,West_utilitypv_class1_moderate_1,West_landbasedwind_class3_moderate_1,Total
t9,0.0,0.0,0.0,0.0,0.0,0.0,12.435152400000002,0.0,0.0,0.0,0.48611340000000003,0.0,0.0,0.0,4.0636323,0.0,0.0,0.0,0.0,59.865075000000004,0.0,0.0,14.3082774,0.0,0.0,0.0,13.891095,0.0,0.0,0.0,0.0,0.0,16.5545289,136.921941,0.0,0.0,0.0,0.0,0.0,40.2461136,101.69080740000003,0.0,0.0,0.0,0.0,0.0,47.061491399999994,141.08777099999998,0.0,0.0,0.0,0.0,0.0,57.4782642,139.5746856,785.6649486000001
t10,0.0,0.0,0.0,0.0,0.0,0.0,22.363614000000002,0.0,0.0,0.0,0.5010983999999999,0.0,0.0,0.0,6.608984400000001,0.0,0.0,0.0,0.0,63.08685,0.0,0.0,21.9218562,0.0,0.0,0.0,22.162815,0.0,0.0,0.0,0.0,0.0,26.9238492,141.14271599999998,0.0,0.0,0.0,0.0,0.0,61.661476799999996,107.16352920000001,0.0,0.0,0.0,0.0,0.0,84.636279,145.4209335,0.0,0.0,0.0,0.0,0.0,91.7048034,141.2809776,936.5797827
t11,0.0,0.0,0.0,0.0,0.0,0.0,28.4091624,0.0,0.0,0.0,0.49270679999999994,0.0,0.0,0.0,9.154336500000001,0.0,0.0,0.0,0.0,61.363575,0.0,0.0,26.6037696,0.0,0.0,0.0,27.287684999999996,0.0,0.0,0.0,0.0,0.0,37.2931695,138.779082,0.0,0.0,0.0,0.0,0.0,74.83069440000001,104.23625940000001,0.0,0.0,0.0,0.0,0.0,107.51597639999999,142.9943625,0.0,0.0,0.0,0.0,0.0,112.91037659999999,134.9676972,1006.8388533
t12,0.0,0.0,0.0,0.0,0.0,0.0,32.685282,0.0,0.0,0.0,0.4699296,0.0,0.0,0.0,10.1069829,0.0,0.0,0.0,0.0,57.99195,0.0,0.0,29.972997,0.0,0.0,0.0,30.434535000000004,0.0,0.0,0.0,0.0,0.0,41.17408470000001,132.363504,0.0,0.0,0.0,0.0,0.0,84.30760800000002,98.50899240000003,0.0,0.0,0.0,0.0,0.0,123.69917699999999,136.927935,0.0,0.0,0.0,0.0,0.0,125.93134260000001,125.412462,1029.9867822
t13,0.0,0.0,0.0,0.0,0.0,0.0,32.6361312,0.0,0.0,0.0,0.4453542,0.0,0.0,0.0,10.2111786,0.0,0.0,0.0,0.0,54.770174999999995,0.0,0.0,30.148021799999995,0.0,0.0,0.0,30.973995,0.0,0.0,0.0,0.0,0.0,41.598559800000004,125.44143299999999,0.0,0.0,0.0,0.0,0.0,84.7999152,93.03627060000002,0.0,0.0,0.0,0.0,0.0,123.5131632,129.4748955,0.0,0.0,0.0,0.0,0.0,128.1635082,116.53974360000002,1001.7523449
t14,0.0,0.0,0.0,0.0,0.0,0.0,30.6700992,0.0,0.0,0.0,0.42197759999999995,0.0,0.0,0.0,9.705085200000001,0.0,0.0,0.0,0.0,52.89704999999999,0.0,0.0,29.010360600000002,0.0,0.0,0.0,29.850120000000004,0.0,0.0,0.0,0.0,0.0,39.536823600000005,118.857024,0.0,0.0,0.0,0.0,0.0,81.5999184,89.85445560000002,0.0,0.0,0.0,0.0,0.0,116.07261119999998,122.54183549999999,0.0,0.0,0.0,0.0,0.0,123.5131632,112.2740136,956.8045377
t15,0.0,0.0,0.0,0.0,0.0,0.0,26.934638400000004,0.0,0.0,0.0,0.41058900000000004,0.0,0.0,0.0,8.5142772,0.0,0.0,0.0,0.0,53.346599999999995,0.0,0.0,26.1224514,0.0,0.0,0.0,26.118855,0.0,0.0,0.0,0.0,0.0,34.6856796,115.64923500000002,0.0,0.0,0.0,0.0,0.0,73.4768496,90.61809120000001,0.0,0.0,0.0,0.0,0.0,101.9355624,119.0753055,0.0,0.0,0.0,0.0,0.0,108.07401779999998,114.32156400000002,899.2837161
t16,0.0,0.0,0.0,0.0,0.0,0.0,20.5941852,0.0,0.0,0.0,0.4093902,0.0,0.0,0.0,6.5643291,0.0,0.0,0.0,0.0,54.845099999999995,0.0,0.0,20.3028768,0.0,0.0,0.0,20.364615,0.0,0.0,0.0,0.0,0.0,26.7419313,115.31157300000001,0.0,0.0,0.0,0.0,0.0,57.107635200000004,93.1635432,0.0,0.0,0.0,0.0,0.0,77.9397822,117.86202,0.0,0.0,0.0,0.0,0.0,84.26425139999999,119.09918160000001,814.5704142
t17,0.0,0.0,0.0,0.0,0.0,0.0,10.7148744,0.0,0.0,0.0,0.4057938,0.0,0.0,0.0,3.1407561,0.0,0.0,0.0,0.0,56.268675,0.0,0.0,11.0265624,0.0,0.0,0.0,12.182805,0.0,0.0,0.0,0.0,0.0,12.7948923,114.29858700000001,0.0,0.0,0.0,0.0,0.0,31.0153536,95.58172260000002,0.0,0.0,0.0,0.0,0.0,40.5510084,116.30208150000001,0.0,0.0,0.0,0.0,0.0,50.4097398,124.0474284,678.7402803
t18,0.0,0.0,0.0,0.0,0.0,0.0,1.7202780000000002,0.0,0.0,0.0,0.380619,0.0,0.0,0.0,0.6400592999999999,0.0,0.0,0.0,0.0,55.069875,0.0,0.0,2.3628348,0.0,0.0,0.0,2.78721,0.0,0.0,0.0,0.0,0.0,2.6074899,107.207685,0.0,0.0,0.0,0.0,0.0,6.6461472,93.54536100000001,0.0,0.0,0.0,0.0,0.0,6.510483000000001,110.0623275,0.0,0.0,0.0,0.0,0.0,11.5328556,126.26560800000001,527.3388333
