Resource,Zone,AnnualSum,Capacity,CapacityFactor
East_batteries_1,1,0.001642913595364587,3.6,0.0
East_conventional_hydroelectric_1,1,1.0233932901468192,6.6,0.15505958941618514
East_landfill_gas_1,1,2.400000431918055,2.39999999998937,1.0000001799702878
East_natural_gas_internal_combustion_engine_1,1,3.373316505136121e-8,3.1999999766979514,0.0
East_petroleum_liquids_with_gt_1,1,1.5291917029674743e-7,125.99999999013889,0.0
East_petroleum_liquids_with_ic_1,1,1.2316855540784704e-7,3.999999975172997,0.0
East_solar_photovoltaic_1,1,9.780550241203466,49.19999999797583,0.19879167157735522
North_conventional_hydroelectric_1,2,5.737202813821685,37.0,0.15505953550869456
North_landfill_gas_1,2,2.4000004313175225,2.3999999999979877,1.0000001797164753
North_natural_gas_internal_combustion_engine_1,2,3.459683641661276e-8,22.399999986610073,0.0
North_onshore_wind_turbine_1,2,0.3542612752191539,0.5999999995824111,0.0
North_petroleum_liquids_with_cc_1,2,429.39996725452136,429.39999997924764,0.9999999237896477
North_petroleum_liquids_with_gt_1,2,488.0999571393808,488.09999807744794,0.9999999161277072
North_petroleum_liquids_with_st_1,2,17.86760830971583,17.867642102776582,0.9999981087006045
North_solar_photovoltaic_1,2,3.0381811948317936,14.89999999885186,0.20390477819234312
South_batteries_1,3,0.007119094199363756,5.1,0.0
South_conventional_hydroelectric_1,3,7.163750432796716,46.2,0.15505953317741847
South_natural_gas_fired_combined_cycle_1,3,1.2068786816914216e-8,579.9999999902091,0.0
South_natural_gas_steam_turbine_1,3,1.360925348725164e-8,677.9476411961647,0.0
South_onshore_wind_turbine_1,3,42.36651841223627,74.99999999916346,0.5648869121694522
South_petroleum_liquids_with_gt_1,3,5.953024219978084e-8,83.99999999516197,0.0
South_petroleum_liquids_with_st_1,3,6.160977733523406e-8,647.1398409648928,0.0
South_solar_photovoltaic_1,3,9.103360957038756,43.79999999724328,0.20783929126967424
West_batteries_1,4,0.02300004822812432,21.8,0.0
West_petroleum_liquids_with_gt_1,4,7.281728474746096e-8,219.99999996948483,0.0
West_petroleum_liquids_with_ic_1,4,6.795659464530321e-8,3.599999998525453,0.0
West_solar_photovoltaic_1,4,9.290893100137623,44.99999999848904,0.20646429112110234
East_battery_moderate_0,1,5.7799452857718064e-6,0.0001045124786982968,0.0
East_naturalgas_ctavgcf_moderate_0,1,3.1280094764996625e-8,3.060754651951095e-5,0.0
East_naturalgas_ccavgcf_moderate_0,1,1.0155118558541447e-8,2.3969668284858648e-5,0.0
East_microgrid_solar_moderate_0,1,0.0,0.0,0.0
East_microgrid_diesel_moderate_0,1,3.1108218143826955e-8,8.066347923495692e-6,0.0
East_utilitypv_class1_moderate_1,1,12.377019289800275,60.700000432160365,0.20390476444284594
East_landbasedwind_class3_moderate_1,1,99.78343508046352,169.00000043019253,0.5904345256003742
North_battery_moderate_0,2,676.883277429234,7954.792183010159,0.0
North_naturalgas_ctavgcf_moderate_0,2,3.1350226679190773e-8,3.063816953802982e-5,0.0
North_naturalgas_ccavgcf_moderate_0,2,1.0213139084621897e-8,2.400941804859685e-5,0.0
North_microgrid_solar_moderate_0,2,0.0,0.0,0.0
North_microgrid_diesel_moderate_0,2,5.687092039826132e-6,8.134758050066155e-6,0.0
North_utilitypv_class1_moderate_1,2,25.605800243007923,123.2000004321228,0.20783928695775883
North_landbasedwind_class3_moderate_1,2,71.9665922219298,127.40000043399505,0.5648869071960114
South_battery_moderate_0,3,2.7419256218986118e-6,5.153332016695554e-5,0.0
South_naturalgas_ctavgcf_moderate_0,3,3.1212483859882537e-8,3.058444922003452e-5,0.0
South_naturalgas_ccavgcf_moderate_0,3,1.010469355146403e-8,2.3941554380288495e-5,0.0
South_microgrid_solar_moderate_0,3,0.0,0.0,0.0
South_microgrid_diesel_moderate_0,3,1.5523200672687064e-8,8.064815014376027e-6,0.0
South_utilitypv_class1_moderate_1,3,37.01500857314038,186.20000042801163,0.19879166749761182
South_landbasedwind_class3_moderate_1,3,104.03493806157358,173.50000043182115,0.5996250017443405
West_battery_moderate_0,4,3.1564946446851766e-6,5.8297435412817225e-5,0.0
West_naturalgas_ctavgcf_moderate_0,4,3.125706208407546e-8,3.060973958737186e-5,0.0
West_naturalgas_ccavgcf_moderate_0,4,1.0144522345826758e-8,2.3969150894439766e-5,0.0
West_microgrid_solar_moderate_0,4,0.0,0.0,0.0
West_microgrid_diesel_moderate_0,4,1.9060630728498084e-8,8.06546751936007e-6,0.0
West_utilitypv_class1_moderate_1,4,38.443650242510444,186.2000004307648,0.2064642865390601
West_landbasedwind_class3_moderate_1,4,89.79200054362036,170.80000042938374,0.5257142875754532
