Resource,East_batteries_1,East_conventional_hydroelectric_1,East_landfill_gas_1,East_natural_gas_internal_combustion_engine_1,East_petroleum_liquids_with_gt_1,East_petroleum_liquids_with_ic_1,East_solar_photovoltaic_1,North_conventional_hydroelectric_1,North_landfill_gas_1,North_natural_gas_internal_combustion_engine_1,North_onshore_wind_turbine_1,North_petroleum_liquids_with_cc_1,North_petroleum_liquids_with_gt_1,North_petroleum_liquids_with_st_1,North_solar_photovoltaic_1,South_batteries_1,South_conventional_hydroelectric_1,South_natural_gas_fired_combined_cycle_1,South_natural_gas_steam_turbine_1,South_onshore_wind_turbine_1,South_petroleum_liquids_with_gt_1,South_petroleum_liquids_with_st_1,South_solar_photovoltaic_1,West_batteries_1,West_petroleum_liquids_with_gt_1,West_petroleum_liquids_with_ic_1,West_solar_photovoltaic_1,East_battery_moderate_0,East_naturalgas_ctavgcf_moderate_0,East_naturalgas_ccavgcf_moderate_0,East_microgrid_solar_moderate_0,East_microgrid_diesel_moderate_0,East_utilitypv_class1_moderate_1,East_landbasedwind_class3_moderate_1,North_battery_moderate_0,North_naturalgas_ctavgcf_moderate_0,North_naturalgas_ccavgcf_moderate_0,North_microgrid_solar_moderate_0,North_microgrid_diesel_moderate_0,North_utilitypv_class1_moderate_1,North_landbasedwind_class3_moderate_1,South_battery_moderate_0,South_naturalgas_ctavgcf_moderate_0,South_naturalgas_ccavgcf_moderate_0,South_microgrid_solar_moderate_0,South_microgrid_diesel_moderate_0,South_utilitypv_class1_moderate_1,South_landbasedwind_class3_moderate_1,West_battery_moderate_0,West_naturalgas_ctavgcf_moderate_0,West_naturalgas_ccavgcf_moderate_0,West_microgrid_solar_moderate_0,West_microgrid_diesel_moderate_0,West_utilitypv_class1_moderate_1,West_landbasedwind_class3_moderate_1
t937,0.2355997148599509,4.443663681547964,0.0,0.0,0.0,0.0,0.0,24.888371517090203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0024475448792247,31.065280723178375,0.0,0.0,0.0,0.0,0.0,0.0,3.261995353662397,0.0,0.0,0.0,0.0006471699359188249,0.0,0.0,0.0,0.0,0.0,0.0,4445.035261169359,0.0,0.0,0.0,0.0,0.0,0.0,0.00031431380888667296,0.0,0.0,0.0,0.0,0.0,0.0,0.0003620636980841659,0.0,0.0,0.0,0.0,0.0,0.0
t938,0.23560207123292076,4.443868894092608,0.0,0.0,0.0,0.0,0.0,24.888895507663722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0024451660150704,31.064384183035425,0.0,0.0,0.0,0.0,0.0,0.0,3.261948527743967,0.0,0.0,0.0,0.000646840377574233,0.0,0.0,0.0,0.0,0.0,0.0,4167.996185660946,0.0,0.0,0.0,0.0,0.0,0.0,0.0003141968249938062,0.0,0.0,0.0,0.0,0.0,0.0,0.0003619339349822135,0.0,0.0,0.0,0.0,0.0,0.0
t939,0.2356040655768826,4.4440695934999015,0.0,0.0,0.0,0.0,0.0,24.889502836209804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.002449602837565,31.063852385141875,0.0,0.0,0.0,0.0,0.0,0.0,3.2619504553136784,0.0,0.0,0.0,0.0006466128233675059,0.0,0.0,0.0,0.0,0.0,0.0,3983.1559140245577,0.0,0.0,0.0,0.0,0.0,0.0,0.0003141127215126179,0.0,0.0,0.0,0.0,0.0,0.0,0.0003618339437003483,0.0,0.0,0.0,0.0,0.0,0.0
t940,0.23560704983895758,4.444263874445175,0.0,0.0,0.0,0.0,0.0,24.890241231994967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0024647277003855,31.06393580111364,0.0,0.0,0.0,0.0,0.0,0.0,3.261999736312457,0.0,0.0,0.0,0.0006465265320932761,0.0,0.0,0.0,0.0,0.0,0.0,3935.308573481274,0.0,0.0,0.0,0.0,0.0,0.0,0.00031407438586327055,0.0,0.0,0.0,0.0,0.0,0.0,0.00036177432485114786,0.0,0.0,0.0,0.0,0.0,0.0
t941,0.23561087480996062,4.444443388772588,0.0,0.0,0.0,0.0,0.0,24.89103131579646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0024940528063677,31.064858282014153,0.0,0.0,0.0,0.0,0.0,0.0,3.2621738587882043,0.0,0.0,0.0,0.0006466284540340881,0.0,0.0,0.0,0.0,0.0,0.0,4097.065708323172,0.0,0.0,0.0,0.0,0.0,0.0,0.0003141002118352493,0.0,0.0,0.0,0.0,0.0,0.0,0.00036177290444420215,0.0,0.0,0.0,0.0,0.0,0.0
t942,0.23561963429244312,4.444604135309246,0.0,0.0,0.0,0.0,0.0,24.89187840458505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0025348014744644,31.06618848077191,0.0,0.0,0.0,0.0,0.0,0.0,3.2623586547688435,0.0,0.0,0.0,0.000646838789030239,0.0,0.0,0.0,0.0,0.0,0.0,4324.23070181938,0.0,0.0,0.0,0.0,0.0,0.0,0.000314157904900727,0.0,0.0,0.0,0.0,0.0,0.0,0.0003618126934531658,0.0,0.0,0.0,0.0,0.0,0.0
t943,0.23563886014774146,4.444748153328989,0.0,0.0,0.0,0.0,0.0,24.89284900925842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0026316989847575,31.06793551751457,0.0,0.0,0.0,0.0,0.0,0.0,3.2623844612813766,0.0,0.0,0.0,0.0006471387409861815,0.0,0.0,0.0,0.0,0.0,0.0,4597.191309973503,0.0,0.0,0.0,0.0,0.0,0.0,0.00031424240483891196,0.0,0.0,0.0,0.0,0.0,0.0,0.0003618880612004499,0.0,0.0,0.0,0.0,0.0,0.0
t944,0.23565746355288325,4.444834000604172,0.0,0.0,0.0,0.0,0.0,24.89367817221189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0027236316327433,31.07012581775062,0.0,0.0,0.0,0.0,0.0,0.0,3.2629401182565396,0.0,0.0,0.0,0.0006475909626965443,0.0,0.0,0.0,0.0,0.0,0.0,4980.448523660007,0.0,0.0,0.0,0.0,0.0,0.0,0.0003143903900725186,0.0,0.0,0.0,0.0,0.0,0.0,0.0003620417682217016,0.0,0.0,0.0,0.0,0.0,0.0
t945,0.2356556853840297,4.444774391749412,0.0,0.0,0.0,0.0,0.0,24.89380109948741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0027266431075932,31.07223698531882,0.0,0.0,0.0,0.0,0.0,0.0,3.263081334033613,0.0,0.0,0.0,0.0006481876355937929,0.0,0.0,0.0,0.0,0.0,0.0,5472.947337396246,0.0,0.0,0.0,0.0,0.0,0.0,0.0003146026000797763,0.0,0.0,0.0,0.0,0.0,0.0,0.0003622810107473727,0.0,0.0,0.0,0.0,0.0,0.0
t946,0.23562731313486482,4.444545892935535,0.0,0.0,0.0,0.0,0.0,24.893086834786338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.00258785444589,31.073615558469754,0.0,0.0,0.0,0.0,0.0,0.0,3.2626867171478167,0.0,0.0,0.0,0.0006488235485941844,0.0,0.0,0.0,0.0,0.0,0.0,5983.256745356963,0.0,0.0,0.0,0.0,0.0,0.0,0.000314833638966554,0.0,0.0,0.0,0.0,0.0,0.0,0.00036255822048739437,0.0,0.0,0.0,0.0,0.0,0.0
