Resource,East_batteries_1,East_conventional_hydroelectric_1,East_landfill_gas_1,East_natural_gas_internal_combustion_engine_1,East_petroleum_liquids_with_gt_1,East_petroleum_liquids_with_ic_1,East_solar_photovoltaic_1,North_conventional_hydroelectric_1,North_landfill_gas_1,North_natural_gas_internal_combustion_engine_1,North_onshore_wind_turbine_1,North_petroleum_liquids_with_cc_1,North_petroleum_liquids_with_gt_1,North_petroleum_liquids_with_st_1,North_solar_photovoltaic_1,South_batteries_1,South_conventional_hydroelectric_1,South_natural_gas_fired_combined_cycle_1,South_natural_gas_steam_turbine_1,South_onshore_wind_turbine_1,South_petroleum_liquids_with_gt_1,South_petroleum_liquids_with_st_1,South_solar_photovoltaic_1,West_batteries_1,West_petroleum_liquids_with_gt_1,West_petroleum_liquids_with_ic_1,West_solar_photovoltaic_1,East_battery_moderate_0,East_naturalgas_ctavgcf_moderate_0,East_naturalgas_ccavgcf_moderate_0,East_microgrid_solar_moderate_0,East_microgrid_diesel_moderate_0,East_utilitypv_class1_moderate_1,East_landbasedwind_class3_moderate_1,North_battery_moderate_0,North_naturalgas_ctavgcf_moderate_0,North_naturalgas_ccavgcf_moderate_0,North_microgrid_solar_moderate_0,North_microgrid_diesel_moderate_0,North_utilitypv_class1_moderate_1,North_landbasedwind_class3_moderate_1,South_battery_moderate_0,South_naturalgas_ctavgcf_moderate_0,South_naturalgas_ccavgcf_moderate_0,South_microgrid_solar_moderate_0,South_microgrid_diesel_moderate_0,South_utilitypv_class1_moderate_1,South_landbasedwind_class3_moderate_1,West_battery_moderate_0,West_naturalgas_ctavgcf_moderate_0,West_naturalgas_ccavgcf_moderate_0,West_microgrid_solar_moderate_0,West_microgrid_diesel_moderate_0,West_utilitypv_class1_moderate_1,West_landbasedwind_class3_moderate_1,Total
t9,2.45959698637828e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2769693568242627e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4793230774001677e-8,0.0,0.0,0.0,1.2571652349801983e-7,0.0,0.0,0.0,0.0,0.0,0.0,1579.896493735962,0.0,0.0,0.0,0.0,0.0,0.0,3.852793775644678e-8,0.0,0.0,0.0,0.0,0.0,0.0,4.608369418893627e-8,0.0,0.0,0.0,0.0,0.0,0.0,1579.896493998449
t10,2.462517139676386e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2773806163095068e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4796670753809405e-8,0.0,0.0,0.0,1.1474301968727474e-7,0.0,0.0,0.0,0.0,0.0,0.0,1674.3078258199412,0.0,0.0,0.0,0.0,0.0,0.0,3.8150870954989216e-8,0.0,0.0,0.0,0.0,0.0,0.0,4.624568429211053e-8,0.0,0.0,0.0,0.0,0.0,0.0,1674.3078260712766
t11,2.4645935668092317e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2780252732324295e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4802383660089782e-8,0.0,0.0,0.0,1.0156272015418223e-7,0.0,0.0,0.0,0.0,0.0,0.0,1743.3395863210126,0.0,0.0,0.0,0.0,0.0,0.0,3.7847271784877694e-8,0.0,0.0,0.0,0.0,0.0,0.0,4.592523194484188e-8,0.0,0.0,0.0,0.0,0.0,0.0,1743.3395865585762
t12,2.4667891092992086e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2790032638718228e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4814682021123397e-8,0.0,0.0,0.0,8.783560587256667e-8,0.0,0.0,0.0,0.0,0.0,0.0,1728.6643438075496,0.0,0.0,0.0,0.0,0.0,0.0,3.785680247916773e-8,0.0,0.0,0.0,0.0,0.0,0.0,4.5398823516067146e-8,0.0,0.0,0.0,0.0,0.0,0.0,1728.6643440309135
t13,2.4683267182031694e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.279701359361005e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4821414217523196e-8,0.0,0.0,0.0,7.659624653081695e-8,0.0,0.0,0.0,0.0,0.0,0.0,1648.5179102184416,0.0,0.0,0.0,0.0,0.0,0.0,3.81463715171567e-8,0.0,0.0,0.0,0.0,0.0,0.0,4.5453055942921866e-8,0.0,0.0,0.0,0.0,0.0,0.0,1648.517910430939
t14,2.4685766132390216e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.279360969206204e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4818335805636732e-8,0.0,0.0,0.0,7.014145631223189e-8,0.0,0.0,0.0,0.0,0.0,0.0,1557.4564798409585,0.0,0.0,0.0,0.0,0.0,0.0,3.8853952216212224e-8,0.0,0.0,0.0,0.0,0.0,0.0,4.5764478812109374e-8,0.0,0.0,0.0,0.0,0.0,0.0,1557.456480048016
t15,2.4672200860638634e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2772216600677279e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4791461972965888e-8,0.0,0.0,0.0,7.092320090547345e-8,0.0,0.0,0.0,0.0,0.0,0.0,1451.1778040343688,0.0,0.0,0.0,0.0,0.0,0.0,3.9723281171883993e-8,0.0,0.0,0.0,0.0,0.0,0.0,4.5750940461735935e-8,0.0,0.0,0.0,0.0,0.0,0.0,1451.1778042430021
t16,2.4654345122269505e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2730878444944815e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4733463653618015e-8,0.0,0.0,0.0,8.350478649994274e-8,0.0,0.0,0.0,0.0,0.0,0.0,1277.6894879653084,0.0,0.0,0.0,0.0,0.0,0.0,3.9728178085169613e-8,0.0,0.0,0.0,0.0,0.0,0.0,4.515708755263598e-8,0.0,0.0,0.0,0.0,0.0,0.0,1277.6894881858173
t17,2.480146724416599e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2856060991640062e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4883779343915244e-8,0.0,0.0,0.0,1.1430694188551301e-7,0.0,0.0,0.0,0.0,0.0,0.0,649.4678886600647,0.0,0.0,0.0,0.0,0.0,0.0,3.921343802799154e-8,0.0,0.0,0.0,0.0,0.0,0.0,4.479036864617838e-8,0.0,0.0,0.0,0.0,0.0,0.0,649.4678889109167
t18,2.4911236341465103e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.294765788807602e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.500191632758295e-8,0.0,0.0,0.0,1.1974819539002623e-7,0.0,0.0,0.0,0.0,0.0,0.0,198.34136424502717,0.0,0.0,0.0,0.0,0.0,0.0,4.018467322850084e-8,0.0,0.0,0.0,0.0,0.0,0.0,4.3841320926702045e-8,0.0,0.0,0.0,0.0,0.0,0.0,198.34136450166216
