Resource,East_batteries_1,East_conventional_hydroelectric_1,East_landfill_gas_1,East_natural_gas_internal_combustion_engine_1,East_petroleum_liquids_with_gt_1,East_petroleum_liquids_with_ic_1,East_solar_photovoltaic_1,North_conventional_hydroelectric_1,North_landfill_gas_1,North_natural_gas_internal_combustion_engine_1,North_onshore_wind_turbine_1,North_petroleum_liquids_with_cc_1,North_petroleum_liquids_with_gt_1,North_petroleum_liquids_with_st_1,North_solar_photovoltaic_1,South_batteries_1,South_conventional_hydroelectric_1,South_natural_gas_fired_combined_cycle_1,South_natural_gas_steam_turbine_1,South_onshore_wind_turbine_1,South_petroleum_liquids_with_gt_1,South_petroleum_liquids_with_st_1,South_solar_photovoltaic_1,West_batteries_1,West_petroleum_liquids_with_gt_1,West_petroleum_liquids_with_ic_1,West_solar_photovoltaic_1,East_battery_moderate_0,East_naturalgas_ctavgcf_moderate_0,East_naturalgas_ccavgcf_moderate_0,East_microgrid_solar_moderate_0,East_microgrid_diesel_moderate_0,East_utilitypv_class1_moderate_1,East_landbasedwind_class3_moderate_1,North_battery_moderate_0,North_naturalgas_ctavgcf_moderate_0,North_naturalgas_ccavgcf_moderate_0,North_microgrid_solar_moderate_0,North_microgrid_diesel_moderate_0,North_utilitypv_class1_moderate_1,North_landbasedwind_class3_moderate_1,South_battery_moderate_0,South_naturalgas_ctavgcf_moderate_0,South_naturalgas_ccavgcf_moderate_0,South_microgrid_solar_moderate_0,South_microgrid_diesel_moderate_0,South_utilitypv_class1_moderate_1,South_landbasedwind_class3_moderate_1,West_battery_moderate_0,West_naturalgas_ctavgcf_moderate_0,West_naturalgas_ccavgcf_moderate_0,West_microgrid_solar_moderate_0,West_microgrid_diesel_moderate_0,West_utilitypv_class1_moderate_1,West_landbasedwind_class3_moderate_1
t8586,0.2363993682475309,4.4523610438744115,0.0,0.0,0.0,0.0,0.0,24.95414511292448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.003141266598121,31.166048309313034,0.0,0.0,0.0,0.0,0.0,0.0,3.265135353339435,0.0,0.0,0.0,0.00010904258450570578,0.0,0.0,0.0,0.0,0.0,0.0,25218.19574488105,0.0,0.0,0.0,0.0,0.0,0.0,9.983450693554017e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0001174189545317987,0.0,0.0,0.0,0.0,0.0,0.0
t8587,0.23641057818650169,4.4523101205446345,0.0,0.0,0.0,0.0,0.0,24.95445844520437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0032112820106969,31.166113895541535,0.0,0.0,0.0,0.0,0.0,0.0,3.265140761636597,0.0,0.0,0.0,0.00010906419868637714,0.0,0.0,0.0,0.0,0.0,0.0,25638.713118647956,0.0,0.0,0.0,0.0,0.0,0.0,9.984774312127976e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.00011744046330989852,0.0,0.0,0.0,0.0,0.0,0.0
t8588,0.23641717287985184,4.45228179237626,0.0,0.0,0.0,0.0,0.0,24.954912204700285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.003239562437181,31.16642313283019,0.0,0.0,0.0,0.0,0.0,0.0,3.2651805467488275,0.0,0.0,0.0,0.00010908201940983384,0.0,0.0,0.0,0.0,0.0,0.0,26043.72625166573,0.0,0.0,0.0,0.0,0.0,0.0,9.985825066105584e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.00011745895700341994,0.0,0.0,0.0,0.0,0.0,0.0
t8589,0.23642145021189281,4.452264715451156,0.0,0.0,0.0,0.0,0.0,24.95555955768645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0032816079451714,31.16719122361187,0.0,0.0,0.0,0.0,0.0,0.0,3.265414529506777,0.0,0.0,0.0,0.00010909888031130724,0.0,0.0,0.0,0.0,0.0,0.0,26459.602315810207,0.0,0.0,0.0,0.0,0.0,0.0,9.98691618828119e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.00011747638035362407,0.0,0.0,0.0,0.0,0.0,0.0
t8590,0.23642072663944377,4.452227385941197,0.0,0.0,0.0,0.0,0.0,24.955879742049493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.003299109734344,31.167348180128663,0.0,0.0,0.0,0.0,0.0,0.0,3.2657542688526684,0.0,0.0,0.0,0.00010910647163617716,0.0,0.0,0.0,0.0,0.0,0.0,26790.730339650505,0.0,0.0,0.0,0.0,0.0,0.0,9.987236331478587e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.00011748746767045162,0.0,0.0,0.0,0.0,0.0,0.0
t8591,0.23641782494116106,4.452157604032456,0.0,0.0,0.0,0.0,0.0,24.95501712320924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0032320335970744,31.164896263425216,0.0,0.0,0.0,0.0,0.0,0.0,3.2650983947212513,0.0,0.0,0.0,0.0001090945303014665,0.0,0.0,0.0,0.0,0.0,0.0,26910.953281299597,0.0,0.0,0.0,0.0,0.0,0.0,9.985664315611668e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.00011748447784432035,0.0,0.0,0.0,0.0,0.0,0.0
t8592,0.2364177141467567,4.452090970291159,0.0,0.0,0.0,0.0,0.0,24.95421709003367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0032126092993647,31.162520777601195,0.0,0.0,0.0,0.0,0.0,0.0,3.2647886518360596,0.0,0.0,0.0,0.00010907914190845786,0.0,0.0,0.0,0.0,0.0,0.0,27022.234026078753,0.0,0.0,0.0,0.0,0.0,0.0,9.983823219303889e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.00011747797681054143,0.0,0.0,0.0,0.0,0.0,0.0
t8593,0.23641379792782974,4.452023125928227,0.0,0.0,0.0,0.0,0.0,24.95390730027062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0031988200675945,31.161366354609893,0.0,0.0,0.0,0.0,0.0,0.0,3.26485929728415,0.0,0.0,0.0,0.00010906670417720494,0.0,0.0,0.0,0.0,0.0,0.0,27206.066547229446,0.0,0.0,0.0,0.0,0.0,0.0,9.982402405237261e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.00011747203558735948,0.0,0.0,0.0,0.0,0.0,0.0
t8594,0.23640756907556154,4.45195130578192,0.0,0.0,0.0,0.0,0.0,24.95373090580482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0031657074980689,31.160665472209235,0.0,0.0,0.0,0.0,0.0,0.0,3.264836989667539,0.0,0.0,0.0,0.00010905531133630382,0.0,0.0,0.0,0.0,0.0,0.0,27430.59916815343,0.0,0.0,0.0,0.0,0.0,0.0,9.981174135406514e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0001174655559478973,0.0,0.0,0.0,0.0,0.0,0.0
t8595,0.23640953942429704,4.451903888335606,0.0,0.0,0.0,0.0,0.0,24.95370559114252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0031726862076455,31.160003976523047,0.0,0.0,0.0,0.0,0.0,0.0,3.2648543288989904,0.0,0.0,0.0,0.00010904149588676758,0.0,0.0,0.0,0.0,0.0,0.0,27659.36963498243,0.0,0.0,0.0,0.0,0.0,0.0,9.97961467739809e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.00011745535495322502,0.0,0.0,0.0,0.0,0.0,0.0
