Resource,East_batteries_1,East_conventional_hydroelectric_1,East_landfill_gas_1,East_natural_gas_internal_combustion_engine_1,East_petroleum_liquids_with_gt_1,East_petroleum_liquids_with_ic_1,East_solar_photovoltaic_1,North_conventional_hydroelectric_1,North_landfill_gas_1,North_natural_gas_internal_combustion_engine_1,North_onshore_wind_turbine_1,North_petroleum_liquids_with_cc_1,North_petroleum_liquids_with_gt_1,North_petroleum_liquids_with_st_1,North_solar_photovoltaic_1,South_batteries_1,South_conventional_hydroelectric_1,South_natural_gas_fired_combined_cycle_1,South_natural_gas_steam_turbine_1,South_onshore_wind_turbine_1,South_petroleum_liquids_with_gt_1,South_petroleum_liquids_with_st_1,South_solar_photovoltaic_1,West_batteries_1,West_petroleum_liquids_with_gt_1,West_petroleum_liquids_with_ic_1,West_solar_photovoltaic_1,East_battery_moderate_0,East_naturalgas_ctavgcf_moderate_0,East_naturalgas_ccavgcf_moderate_0,East_microgrid_solar_moderate_0,East_microgrid_diesel_moderate_0,East_utilitypv_class1_moderate_1,East_landbasedwind_class3_moderate_1,North_battery_moderate_0,North_naturalgas_ctavgcf_moderate_0,North_naturalgas_ccavgcf_moderate_0,North_microgrid_solar_moderate_0,North_microgrid_diesel_moderate_0,North_utilitypv_class1_moderate_1,North_landbasedwind_class3_moderate_1,South_battery_moderate_0,South_naturalgas_ctavgcf_moderate_0,South_naturalgas_ccavgcf_moderate_0,South_microgrid_solar_moderate_0,South_microgrid_diesel_moderate_0,South_utilitypv_class1_moderate_1,South_landbasedwind_class3_moderate_1,West_battery_moderate_0,West_naturalgas_ctavgcf_moderate_0,West_naturalgas_ccavgcf_moderate_0,West_microgrid_solar_moderate_0,West_microgrid_diesel_moderate_0,West_utilitypv_class1_moderate_1,West_landbasedwind_class3_moderate_1
Zone,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4
t1,-4351.698088227239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4324.9857620601615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4396.982534447919,0.0,0.0,0.0,-4352.065589373365,0.0,0.0,0.0,0.0,0.0,0.0,-5043.646917932858,0.0,0.0,0.0,0.0,0.0,0.0,-4325.492139279682,0.0,0.0,0.0,0.0,0.0,0.0,-4397.594188516058,0.0,0.0,0.0,0.0,0.0,0.0
t2,-4351.698125783688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4324.985769440997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4396.982536818428,0.0,0.0,0.0,-4352.664709004261,0.0,0.0,0.0,0.0,0.0,0.0,-5043.646917933448,0.0,0.0,0.0,0.0,0.0,0.0,-4326.167148601006,0.0,0.0,0.0,0.0,0.0,0.0,-4398.191101082371,0.0,0.0,0.0,0.0,0.0,0.0
t3,-4351.698148835593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4324.98577411177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4396.98253832814,0.0,0.0,0.0,-4353.021888624366,0.0,0.0,0.0,0.0,0.0,0.0,-5043.646917933837,0.0,0.0,0.0,0.0,0.0,0.0,-4326.574306766933,0.0,0.0,0.0,0.0,0.0,0.0,-4398.532012530969,0.0,0.0,0.0,0.0,0.0,0.0
t4,-4351.698166213117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4324.985777701219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4396.982539492645,0.0,0.0,0.0,-4353.295407279911,0.0,0.0,0.0,0.0,0.0,0.0,-5043.64691793416,0.0,0.0,0.0,0.0,0.0,0.0,-4326.871139780509,0.0,0.0,0.0,0.0,0.0,0.0,-4398.775703034244,0.0,0.0,0.0,0.0,0.0,0.0
t5,-4351.698180387942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4324.985780672635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4396.982540459311,0.0,0.0,0.0,-4353.522999179664,0.0,0.0,0.0,0.0,0.0,0.0,-5043.646917934452,0.0,0.0,0.0,0.0,0.0,0.0,-4327.105497327132,0.0,0.0,0.0,0.0,0.0,0.0,-4398.966484954104,0.0,0.0,0.0,0.0,0.0,0.0
t6,-4351.698192447758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4324.985783231679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4396.98254129369,0.0,0.0,0.0,-4353.720491884207,0.0,0.0,0.0,0.0,0.0,0.0,-5043.646917934723,0.0,0.0,0.0,0.0,0.0,0.0,-4327.29955498133,0.0,0.0,0.0,0.0,0.0,0.0,-4399.123663717492,0.0,0.0,0.0,0.0,0.0,0.0
t7,-4351.698202981934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4324.985785490468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4396.982542031553,0.0,0.0,0.0,-4353.893766966403,0.0,0.0,0.0,0.0,0.0,0.0,-5043.646917934986,0.0,0.0,0.0,0.0,0.0,0.0,-4327.46464960987,0.0,0.0,0.0,0.0,0.0,0.0,-4399.256903021735,0.0,0.0,0.0,0.0,0.0,0.0
t8,-4351.698212350843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4324.985787517923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4396.982542694924,0.0,0.0,0.0,-4354.044500930151,0.0,0.0,0.0,0.0,0.0,0.0,-5043.646917935239,0.0,0.0,0.0,0.0,0.0,0.0,-4327.608126724989,0.0,0.0,0.0,0.0,0.0,0.0,-4399.372729447505,0.0,0.0,0.0,0.0,0.0,0.0
t9,-4351.698220791081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4324.985789359982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4396.982543298516,0.0,0.0,0.0,-4354.17578949428,0.0,0.0,0.0,0.0,0.0,0.0,-5043.646917935486,0.0,0.0,0.0,0.0,0.0,0.0,-4327.733620730877,0.0,0.0,0.0,0.0,0.0,0.0,-4399.474517651685,0.0,0.0,0.0,0.0,0.0,0.0
t10,-4351.698228471056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4324.985791049095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4396.982543852707,0.0,0.0,0.0,-4354.290777652919,0.0,0.0,0.0,0.0,0.0,0.0,-5043.6469179357355,0.0,0.0,0.0,0.0,0.0,0.0,-4327.844738732858,0.0,0.0,0.0,0.0,0.0,0.0,-4399.565139914885,0.0,0.0,0.0,0.0,0.0,0.0
t11,-4351.698235514698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4324.98579260922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4396.982544365164,0.0,0.0,0.0,-4354.392662990442,0.0,0.0,0.0,0.0,0.0,0.0,-5043.646917935986,0.0,0.0,0.0,0.0,0.0,0.0,-4327.944254652303,0.0,0.0,0.0,0.0,0.0,0.0,-4399.646616410377,0.0,0.0,0.0,0.0,0.0,0.0
t12,-4351.698242015676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4324.98579405858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4396.982544841728,0.0,0.0,0.0,-4354.484062597584,0.0,0.0,0.0,0.0,0.0,0.0,-5043.646917936241,0.0,0.0,0.0,0.0,0.0,0.0,-4328.034279300961,0.0,0.0,0.0,0.0,0.0,0.0,-4399.720479300348,0.0,0.0,0.0,0.0,0.0,0.0
t13,-4351.698248046379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4324.985795411398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4396.982545286972,0.0,0.0,0.0,-4354.566784915861,0.0,0.0,0.0,0.0,0.0,0.0,-5043.646917936506,0.0,0.0,0.0,0.0,0.0,0.0,-4328.116317069422,0.0,0.0,0.0,0.0,0.0,0.0,-4399.787862196084,0.0,0.0,0.0,0.0,0.0,0.0
t14,-4351.698253664288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4324.985796679051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4396.982545704556,0.0,0.0,0.0,-4354.642116128482,0.0,0.0,0.0,0.0,0.0,0.0,-5043.6469179367805,0.0,0.0,0.0,0.0,0.0,0.0,-4328.1915300722985,0.0,0.0,0.0,0.0,0.0,0.0,-4399.84965849036,0.0,0.0,0.0,0.0,0.0,0.0
t15,-4351.698258916537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4324.985797870844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4396.9825460974835,0.0,0.0,0.0,-4354.711004385857,0.0,0.0,0.0,0.0,0.0,0.0,-5043.646917937079,0.0,0.0,0.0,0.0,0.0,0.0,-4328.260821651978,0.0,0.0,0.0,0.0,0.0,0.0,-4399.906586801128,0.0,0.0,0.0,0.0,0.0,0.0
t16,-4351.698263842837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4324.985798994538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4396.982546468251,0.0,0.0,0.0,-4354.774304498114,0.0,0.0,0.0,0.0,0.0,0.0,-5043.646917937472,0.0,0.0,0.0,0.0,0.0,0.0,-4328.324910874954,0.0,0.0,0.0,0.0,0.0,0.0,-4399.95924720779,0.0,0.0,0.0,0.0,0.0,0.0
t17,-4351.698268476694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4324.985800056652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4396.982546818954,0.0,0.0,0.0,-4354.832932963463,0.0,0.0,0.0,0.0,0.0,0.0,-5043.646917938369,0.0,0.0,0.0,0.0,0.0,0.0,-4328.384455425761,0.0,0.0,0.0,0.0,0.0,0.0,-4400.008189038989,0.0,0.0,0.0,0.0,0.0,0.0
