Segment,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,Total
Zone,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,0
AnnualSum,2.5354976874248623e-9,2.507190990934351e-9,2.5126517455026576e-9,2.513563895399864e-9,2.5659750217597358e-9,2.515533361550578e-9,2.52000177934852e-9,2.5156519988947584e-9,2.5279873831488785e-9,2.5023421503791628e-9,2.508137886805607e-9,2.509255002032908e-9,2.5164118714326485e-9,2.4934823283308494e-9,2.4994747406897738e-9,2.5004323664269034e-9,4.0243590210062055e-8
t1,2.496602146729597e-9,2.4898084559450443e-9,2.4965698879929247e-9,2.500096918188982e-9,2.498562988532759e-9,2.4612710138708362e-9,2.467905261979932e-9,2.4724679938703754e-9,2.5011418769353107e-9,2.49593156950621e-9,2.5024567894709746e-9,2.5049406746016435e-9,2.468423980887146e-9,2.467537480505416e-9,2.4730144045923104e-9,2.4737183619636202e-9,3.977044980557308e-8
t2,2.489632053821814e-9,2.4796565379993264e-9,2.48579485765602e-9,2.488526154935548e-9,2.5047143773472783e-9,2.4663232849599445e-9,2.473046058076878e-9,2.4776320432899147e-9,2.48159817793164e-9,2.4758312415838055e-9,2.481682134636541e-9,2.4834527699829153e-9,2.481938786782915e-9,2.4771017571049262e-9,2.482577815768043e-9,2.483155662580515e-9,3.9712663714458025e-8
t3,2.4883503289433603e-9,2.4789663182800883e-9,2.485074833179036e-9,2.4877448471620862e-9,2.5099870095151428e-9,2.4698017641567363e-9,2.476515156001145e-9,2.4810573011624374e-9,2.4843341017547134e-9,2.4784934264296093e-9,2.484382183681709e-9,2.486142456110466e-9,2.4795333267734316e-9,2.4753784001552404e-9,2.4808244722325786e-9,2.481358576199219e-9,3.9727944501737e-8
t4,2.490602857724023e-9,2.4814449517734616e-9,2.4875759051353723e-9,2.4901902780161964e-9,2.511616303855412e-9,2.4717955593549283e-9,2.478508551494444e-9,2.4830120210344162e-9,2.486529135707221e-9,2.480912688888832e-9,2.486833850553909e-9,2.4885674901009777e-9,2.479466126384841e-9,2.4757993705108684e-9,2.4812400991554983e-9,2.4817499535918453e-9,3.975584514328225e-8
t5,2.49126918926698e-9,2.4826784791716487e-9,2.4888105469464673e-9,2.4913818061867294e-9,2.513973252716598e-9,2.4744921095840347e-9,2.4811698474869533e-9,2.4855773344888858e-9,2.486893959043867e-9,2.482076127593187e-9,2.487998936798778e-9,2.4896691248191302e-9,2.4789826546726156e-9,2.4761644409040466e-9,2.481589158010049e-9,2.482061192383289e-9,3.977478816007326e-8
t6,2.4914313004860562e-9,2.483974994917065e-9,2.490079269484165e-9,2.4925053860807385e-9,2.5144770884939405e-9,2.476710414035328e-9,2.483273844423629e-9,2.4874838624212842e-9,2.4867969002518273e-9,2.483025290350635e-9,2.4889303053592814e-9,2.4904994273344094e-9,2.478044892040386e-9,2.4763605676678426e-9,2.481749274836484e-9,2.482152921076176e-9,3.978749573925925e-8
t7,2.490784998796517e-9,2.4849050494767937e-9,2.490963883937298e-9,2.493235867040506e-9,2.5111015174320743e-9,2.4765871001943303e-9,2.483043847026045e-9,2.487022934667961e-9,2.4857982064783682e-9,2.4834964279823807e-9,2.489360025941653e-9,2.4908138493702248e-9,2.475752010908102e-9,2.475715668273734e-9,2.4810443068305805e-9,2.481365173860976e-9,3.9780990868217546e-8
t8,2.4862885465689277e-9,2.4817883182226444e-9,2.4877450514250518e-9,2.4898726894617197e-9,2.5097757119812693e-9,2.4744836847228053e-9,2.4808015500056013e-9,2.4844887484435575e-9,2.4816349679976185e-9,2.480889463165997e-9,2.4866426811059545e-9,2.487959554102573e-9,2.4733529895925373e-9,2.4748731531247487e-9,2.4801030466529045e-9,2.480317773730376e-9,3.974101793030429e-8
t9,2.4793854631739864e-9,2.4801260643940298e-9,2.4859844265868772e-9,2.4879891536815786e-9,2.5029305232748643e-9,2.4693691944523328e-9,2.4755530450164096e-9,2.478950880581599e-9,2.4748787649867835e-9,2.48001890942028e-9,2.4856781982205685e-9,2.4868949684327714e-9,2.4653353993143945e-9,2.4734521945484764e-9,2.4785463203398005e-9,2.478643532251015e-9,3.968373703867577e-8
t10,2.4731608322293166e-9,2.480014817338947e-9,2.48580844525486e-9,2.487746065856412e-9,2.500521717166857e-9,2.468098823730725e-9,2.4741882064122755e-9,2.4773631063125887e-9,2.4681527580920578e-9,2.480243576724478e-9,2.4858312146914377e-9,2.4869890063941934e-9,2.4572137190584977e-9,2.473105231332907e-9,2.4781005452177977e-9,2.4781279392991604e-9,3.965466600511251e-8
t11,2.4694348525469633e-9,2.4805857766445607e-9,2.486332005419632e-9,2.4881426054919495e-9,2.499089189991211e-9,2.4698788623786754e-9,2.475904672353806e-9,2.4789834260434076e-9,2.4644682889381953e-9,2.480895257858299e-9,2.486429084775752e-9,2.4874849059437184e-9,2.452842990391705e-9,2.473389840747752e-9,2.478301804370785e-9,2.478242374178981e-9,3.965040593807539e-8
t12,2.4707657599253853e-9,2.4816626723089212e-9,2.4874110150425538e-9,2.489236956860582e-9,2.5021051208001342e-9,2.471686325627221e-9,2.477716763762327e-9,2.4807351833156756e-9,2.46530007518783e-9,2.481619962264571e-9,2.4871476787520753e-9,2.4882085601049264e-9,2.453694143346875e-9,2.4742496703906954e-9,2.4791529873874724e-9,2.4790923817773946e-9,3.966978525685464e-8
t13,2.475736438529776e-9,2.4828851491495115e-9,2.488663345273176e-9,2.4905860470076933e-9,2.5087089507740245e-9,2.4738856219445188e-9,2.479966558516406e-9,2.482918580269739e-9,2.4700841364025283e-9,2.4827409287328758e-9,2.4883084079319953e-9,2.489455707592506e-9,2.4587629278157662e-9,2.4756003372614373e-9,2.4805574634822983e-9,2.4805629112495774e-9,3.970942351193383e-8
t14,2.4820662426546e-9,2.484693892205235e-9,2.4905200413573153e-9,2.4925308974653475e-9,2.515321339726752e-9,2.476534676498642e-9,2.4826744741705987e-9,2.4855496586625558e-9,2.4764743357501625e-9,2.4844870121167842e-9,2.490114592075837e-9,2.491351486216314e-9,2.4658090371887287e-9,2.477719837179926e-9,2.4827629947945304e-9,2.48285966800101e-9,3.976147018606434e-8
t15,2.4892240444906755e-9,2.4875082598958926e-9,2.493404451635965e-9,2.4954917223561105e-9,2.521456108424873e-9,2.479671660538616e-9,2.4858767550727574e-9,2.4886630048279675e-9,2.483590137438123e-9,2.4870211409748237e-9,2.4927320538918134e-9,2.4940610632748988e-9,2.473461019192867e-9,2.480402106210081e-9,2.485564786410741e-9,2.4857773521615343e-9,3.982390566679774e-8
t16,2.495342486168395e-9,2.48935870288072e-9,2.4953207865485736e-9,2.4974517451920466e-9,2.52453431672361e-9,2.482218152317038e-9,2.4884353281016356e-9,2.491113795911842e-9,2.489804466547892e-9,2.4884594778068204e-9,2.494258567030693e-9,2.495659534089077e-9,2.4803174630183434e-9,2.4819383720387436e-9,2.487228304456634e-9,2.4875473987230525e-9,3.9868988897555115e-8
t17,2.486720034076131e-9,2.475728849199237e-9,2.4816490453482503e-9,2.4839482036006545e-9,2.5113771214475285e-9,2.4705455450448214e-9,2.476485363458984e-9,2.4790740193062183e-9,2.48137175308985e-9,2.4742417957610254e-9,2.4800538522026607e-9,2.481630275102608e-9,2.4723945701536813e-9,2.467742026832555e-9,2.473119525711375e-9,2.473616324189301e-9,3.966969830452489e-8
