Resource,East_batteries_1,East_conventional_hydroelectric_1,East_landfill_gas_1,East_natural_gas_internal_combustion_engine_1,East_petroleum_liquids_with_gt_1,East_petroleum_liquids_with_ic_1,East_solar_photovoltaic_1,North_conventional_hydroelectric_1,North_landfill_gas_1,North_natural_gas_internal_combustion_engine_1,North_onshore_wind_turbine_1,North_petroleum_liquids_with_cc_1,North_petroleum_liquids_with_gt_1,North_petroleum_liquids_with_st_1,North_solar_photovoltaic_1,South_batteries_1,South_conventional_hydroelectric_1,South_natural_gas_fired_combined_cycle_1,South_natural_gas_steam_turbine_1,South_onshore_wind_turbine_1,South_petroleum_liquids_with_gt_1,South_petroleum_liquids_with_st_1,South_solar_photovoltaic_1,West_batteries_1,West_petroleum_liquids_with_gt_1,West_petroleum_liquids_with_ic_1,West_solar_photovoltaic_1,East_battery_moderate_0,East_naturalgas_ctavgcf_moderate_0,East_naturalgas_ccavgcf_moderate_0,East_microgrid_solar_moderate_0,East_microgrid_diesel_moderate_0,East_utilitypv_class1_moderate_1,East_landbasedwind_class3_moderate_1,North_battery_moderate_0,North_naturalgas_ctavgcf_moderate_0,North_naturalgas_ccavgcf_moderate_0,North_microgrid_solar_moderate_0,North_microgrid_diesel_moderate_0,North_utilitypv_class1_moderate_1,North_landbasedwind_class3_moderate_1,South_battery_moderate_0,South_naturalgas_ctavgcf_moderate_0,South_naturalgas_ccavgcf_moderate_0,South_microgrid_solar_moderate_0,South_microgrid_diesel_moderate_0,South_utilitypv_class1_moderate_1,South_landbasedwind_class3_moderate_1,West_battery_moderate_0,West_naturalgas_ctavgcf_moderate_0,West_naturalgas_ccavgcf_moderate_0,West_microgrid_solar_moderate_0,West_microgrid_diesel_moderate_0,West_utilitypv_class1_moderate_1,West_landbasedwind_class3_moderate_1
t5026,0.23595860929468934,4.464774053700905,0.0,0.0,0.0,0.0,0.0,25.127466866151774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.001355959151059,31.391056881315265,0.0,0.0,0.0,0.0,0.0,0.0,3.2619032402290244,0.0,0.0,0.0,0.005652043869240959,0.0,0.0,0.0,0.0,0.0,0.0,0.000251799257291471,0.0,0.0,0.0,0.0,0.0,0.0,6661.686296844903,0.0,0.0,0.0,0.0,0.0,0.0,0.0016258621573682402,0.0,0.0,0.0,0.0,0.0,0.0
t5027,0.23594016323523348,4.465000862379542,0.0,0.0,0.0,0.0,0.0,25.14513065512618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0012887510405128,31.415030592683532,0.0,0.0,0.0,0.0,0.0,0.0,3.2619653378669944,0.0,0.0,0.0,0.005651990944785073,0.0,0.0,0.0,0.0,0.0,0.0,0.00025182612416107766,0.0,0.0,0.0,0.0,0.0,0.0,7134.250634421697,0.0,0.0,0.0,0.0,0.0,0.0,0.0016259359430197647,0.0,0.0,0.0,0.0,0.0,0.0
t5028,0.23592760865713336,4.46520524505051,0.0,0.0,0.0,0.0,0.0,25.162172495730683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0013249612799575,31.438725309490433,0.0,0.0,0.0,0.0,0.0,0.0,3.263499235010596,0.0,0.0,0.0,0.005651813015695894,0.0,0.0,0.0,0.0,0.0,0.0,0.00025185182248329446,0.0,0.0,0.0,0.0,0.0,0.0,7513.87099106583,0.0,0.0,0.0,0.0,0.0,0.0,0.0016259743995481791,0.0,0.0,0.0,0.0,0.0,0.0
t5029,0.23592944339539862,4.4653402843871595,0.0,0.0,0.0,0.0,0.0,25.174441899757408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0015422598898267,31.456890460403354,0.0,0.0,0.0,0.0,0.0,0.0,3.2663461655519592,0.0,0.0,0.0,0.005651439316229839,0.0,0.0,0.0,0.0,0.0,0.0,0.0002518450368550746,0.0,0.0,0.0,0.0,0.0,0.0,7642.342480343036,0.0,0.0,0.0,0.0,0.0,0.0,0.0016259544237135182,0.0,0.0,0.0,0.0,0.0,0.0
t5030,0.2359247103966651,4.465250270563595,0.0,0.0,0.0,0.0,0.0,25.17165567472658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0013289903176246,31.451157484418403,0.0,0.0,0.0,0.0,0.0,0.0,3.263267993318918,0.0,0.0,0.0,0.005650952103556851,0.0,0.0,0.0,0.0,0.0,0.0,0.00025184548842353615,0.0,0.0,0.0,0.0,0.0,0.0,7575.5911699657545,0.0,0.0,0.0,0.0,0.0,0.0,0.0016259576964981043,0.0,0.0,0.0,0.0,0.0,0.0
t5031,0.23592601781149602,4.465063675168398,0.0,0.0,0.0,0.0,0.0,25.162340896263565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0012134194451,31.43579139895386,0.0,0.0,0.0,0.0,0.0,0.0,3.2614551271886882,0.0,0.0,0.0,0.005650228683073306,0.0,0.0,0.0,0.0,0.0,0.0,0.0002518330592784515,0.0,0.0,0.0,0.0,0.0,0.0,7348.201836340642,0.0,0.0,0.0,0.0,0.0,0.0,0.0016259159076680522,0.0,0.0,0.0,0.0,0.0,0.0
t5032,0.23593198158258524,4.4648542974215975,0.0,0.0,0.0,0.0,0.0,25.15099565698563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0012060266519556,31.41819691896778,0.0,0.0,0.0,0.0,0.0,0.0,3.2609529207314587,0.0,0.0,0.0,0.005649332536785276,0.0,0.0,0.0,0.0,0.0,0.0,0.00025181871384732636,0.0,0.0,0.0,0.0,0.0,0.0,6995.89354485668,0.0,0.0,0.0,0.0,0.0,0.0,0.0016258344325069275,0.0,0.0,0.0,0.0,0.0,0.0
t5033,0.2359370382692177,4.464637249556177,0.0,0.0,0.0,0.0,0.0,25.138564209015733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0012106150984459,31.399689368145292,0.0,0.0,0.0,0.0,0.0,0.0,3.2605846888529872,0.0,0.0,0.0,0.005648276527312137,0.0,0.0,0.0,0.0,0.0,0.0,0.0002518027765640754,0.0,0.0,0.0,0.0,0.0,0.0,6551.372761928007,0.0,0.0,0.0,0.0,0.0,0.0,0.0016257141590030454,0.0,0.0,0.0,0.0,0.0,0.0
t5034,0.2359415866729856,4.464423181637549,0.0,0.0,0.0,0.0,0.0,25.1257882821001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.00122558331992,31.38072943347072,0.0,0.0,0.0,0.0,0.0,0.0,3.260735703265574,0.0,0.0,0.0,0.0056470979441270944,0.0,0.0,0.0,0.0,0.0,0.0,0.00025179656354776096,0.0,0.0,0.0,0.0,0.0,0.0,6070.201485509543,0.0,0.0,0.0,0.0,0.0,0.0,0.0016255742909050022,0.0,0.0,0.0,0.0,0.0,0.0
t5035,0.23594642339762725,4.464203849973139,0.0,0.0,0.0,0.0,0.0,25.111833241516113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0012168645058845,31.36065886974952,0.0,0.0,0.0,0.0,0.0,0.0,3.260181760395697,0.0,0.0,0.0,0.0056457563393267325,0.0,0.0,0.0,0.0,0.0,0.0,0.0002517773800138982,0.0,0.0,0.0,0.0,0.0,0.0,5520.27732956249,0.0,0.0,0.0,0.0,0.0,0.0,0.0016253932736906345,0.0,0.0,0.0,0.0,0.0,0.0
