Segment,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,Total
Zone,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,0
AnnualSum,2.6570216808883274e-11,2.9652120361725395e-11,4.991709532976905e-11,1.5769391633238248e-10,2.6591563420341515e-11,2.967846955074067e-11,4.9991819196745125e-11,1.5844365474625417e-10,2.6570195005780187e-11,2.9652130135360654e-11,4.9917043315683606e-11,1.576935519698961e-10,2.6570184788192577e-11,2.965208989941678e-11,4.991693540271315e-11,1.5769280004939278e-10,1.0562037863132776e-9
t1,2.6599272071685556e-11,2.968823713546935e-11,5.001912911833809e-11,1.5869527017421163e-10,2.6620981780192726e-11,2.971537315735819e-11,5.009620159927305e-11,1.5947433545478418e-10,2.6599246223298332e-11,2.968825003517484e-11,5.001907511330634e-11,1.586949160755214e-10,2.6599217149497122e-11,2.9688210583891295e-11,5.001896707996033e-11,1.58694202540605e-10,1.0609108852925675e-9
t2,2.6599267211994453e-11,2.968823519600062e-11,5.001911861960536e-11,1.586952688721099e-10,2.6620928171516918e-11,2.971536973395054e-11,5.009620152045645e-11,1.5947432349481147e-10,2.6599243017219906e-11,2.9688245115449816e-11,5.0019066624765345e-11,1.5869491576688964e-10,2.659921641070674e-11,2.968820661429631e-11,5.001896197518832e-11,1.5869418449019212e-10,1.060910752835154e-9
t3,2.6599263090848e-11,2.9688233471526725e-11,5.0019109051590326e-11,1.5869525687097807e-10,2.662091715084694e-11,2.971536504689726e-11,5.009620052919803e-11,1.594743053759639e-10,2.659923921035693e-11,2.968824111851783e-11,5.001905843794508e-11,1.5869490040975584e-10,2.6599213961755992e-11,2.9688202276143144e-11,5.001895545528065e-11,1.5869414947645788e-10,1.0609106109340625e-9
t4,2.659925919738199e-11,2.968823249143347e-11,5.001909998313611e-11,1.586952355001935e-10,2.6620935103860214e-11,2.9715360032705964e-11,5.009620123526079e-11,1.5947428489397e-10,2.6599235538965728e-11,2.968823794681032e-11,5.0019051260106214e-11,1.5869487745023023e-10,2.6599211249740277e-11,2.968819851854822e-11,5.0018949618306787e-11,1.5869411114751218e-10,1.0609104811681621e-9
t5,2.659925619309063e-11,2.968823143068068e-11,5.0019093909405305e-11,1.58695223047786e-10,2.6620962032335793e-11,2.9715355667046856e-11,5.009620226829262e-11,1.5947426593756558e-10,2.6599231590042445e-11,2.968823489272874e-11,5.0019043485214753e-11,1.5869484138577188e-10,2.659920833880942e-11,2.968819465198919e-11,5.001894289659669e-11,1.5869405602295308e-10,1.0609103437503098e-9
t6,2.659925074986186e-11,2.9688231367913066e-11,5.001908321381538e-11,1.5869517546529304e-10,2.6620993411614513e-11,2.9715350346942134e-11,5.009620618258391e-11,1.5947423295205323e-10,2.659922733092088e-11,2.968823174461092e-11,5.001903477453751e-11,1.5869478798633171e-10,2.6599205087363844e-11,2.968818995999068e-11,5.001893345884711e-11,1.5869396409442343e-10,1.0609100981271033e-9
t7,2.6599246147307585e-11,2.9688230916668096e-11,5.001907466497938e-11,1.586951322719567e-10,2.6621015538206008e-11,2.971534657154744e-11,5.00962084059736e-11,1.5947420261178053e-10,2.6599223906361382e-11,2.9688229108370943e-11,5.0019027734458745e-11,1.586947376186581e-10,2.6599202435520265e-11,2.968818619804947e-11,5.0018925410493405e-11,1.5869387660235267e-10,1.0609098661426842e-9
t8,2.65992420278505e-11,2.968822858465219e-11,5.001906484924189e-11,1.5869503909366496e-10,2.6621028250238317e-11,2.9715342840383405e-11,5.0096203795172153e-11,1.5947411525412188e-10,2.659922037950311e-11,2.9688225579731154e-11,5.0019018339189036e-11,1.5869463704684156e-10,2.6599199407132404e-11,2.968818274742767e-11,5.001891639993837e-11,1.586937616695753e-10,1.0609094262646639e-9
t9,2.6431137821374868e-11,2.947896880107703e-11,4.942791189421655e-11,1.5289341253015932e-10,2.644928231524707e-11,2.9501496369657935e-11,4.949140768684874e-11,1.535025613147585e-10,2.643111679790853e-11,2.947896443203918e-11,4.9427865645523956e-11,1.528930257644175e-10,2.6431096089263185e-11,2.9478921836630856e-11,4.942776442625028e-11,1.5289217880412702e-10,1.0336371125295004e-9
t10,2.643113618938607e-11,2.947896814686244e-11,4.942790906842973e-11,1.5289339219314372e-10,2.644928781718898e-11,2.950149555933059e-11,4.9491406299633684e-11,1.5350254082072403e-10,2.6431115481723632e-11,2.9478962867809314e-11,4.9427862555735334e-11,1.528930046166292e-10,2.6431095082493315e-11,2.947892120103001e-11,4.9427763054085933e-11,1.528921628406645e-10,1.0336370237948705e-9
t11,2.6431132009772205e-11,2.947896759566845e-11,4.942790052082235e-11,1.5289333448207344e-10,2.644929377986702e-11,2.950149276596424e-11,4.9491408202013164e-11,1.5350250209714249e-10,2.6431112803019137e-11,2.947895994408534e-11,4.942785452495103e-11,1.528929432903161e-10,2.6431093125148016e-11,2.947891751025718e-11,4.942775353868696e-11,1.5289206560273456e-10,1.0336367317925218e-9
t12,2.6431133074686975e-11,2.947896816817916e-11,4.942790325498412e-11,1.528933496571243e-10,2.644929441864695e-11,2.9501493539417335e-11,4.949140867835289e-11,1.535025113731737e-10,2.643111339137917e-11,2.947896069611421e-11,4.942785650200047e-11,1.5289295745801347e-10,2.6431093547013373e-11,2.947891838342893e-11,4.942775560373701e-11,1.5289208475707123e-10,1.0336368025033233e-9
t13,2.64311377602659e-11,2.9478969316594685e-11,4.942791343239948e-11,1.5289341190392678e-10,2.644929098909614e-11,2.9501496870247744e-11,4.949140828055332e-11,1.5350255311070668e-10,2.643111637828542e-11,2.947896418582179e-11,4.9427865746302304e-11,1.5289302299398045e-10,2.6431095630247137e-11,2.947892231336989e-11,4.9427765404300926e-11,1.5289217952422685e-10,1.0336371138403255e-9
t14,2.6431141955391212e-11,2.947896989431171e-11,4.9427921825690957e-11,1.5289346194122183e-10,2.644928568078627e-11,2.950149970764512e-11,4.94914074744801e-11,1.5350258586793965e-10,2.6431118999167532e-11,2.9478966975210466e-11,4.9427873280597355e-11,1.5289307640509262e-10,2.643109755451158e-11,2.947892583059877e-11,4.942777403972461e-11,1.5289226663321087e-10,1.0336373740655805e-9
t15,2.6431145436206592e-11,2.947897050475637e-11,4.942792863540166e-11,1.5289350321494714e-10,2.644927927228459e-11,2.950150227454432e-11,4.9491407299676815e-11,1.5350261799242836e-10,2.64311212172434e-11,2.9478969289180885e-11,4.942787948075415e-11,1.528931210407173e-10,2.6431099327685287e-11,2.947892878983014e-11,4.942778116731252e-11,1.5289233902468572e-10,1.0336375939676551e-9
t16,2.6431148561287605e-11,2.947897328098334e-11,4.942793688405271e-11,1.5289356976748233e-10,2.644927671337149e-11,2.950150481074312e-11,4.94914148594045e-11,1.535026855421194e-10,2.6431123635800918e-11,2.947897248238941e-11,4.942788728104753e-11,1.5289318703484027e-10,2.6431101516473698e-11,2.947893109165248e-11,4.942778727461563e-11,1.5289240034055547e-10,1.03363790107682e-9
t17,2.6599253084780412e-11,2.9688233118817856e-11,5.001909114643217e-11,1.5869523031611343e-10,2.6621024335332714e-11,2.971535165406589e-11,5.0096211326395625e-11,1.5947426701691676e-10,2.6599227088681184e-11,2.9688233999622474e-11,5.001904187951863e-11,1.5869483736630987e-10,2.659920472689925e-11,2.968819273620229e-11,5.0018941910283495e-11,1.5869403414204142e-10,1.0609103758484134e-9
