Resource,East_batteries_1,East_conventional_hydroelectric_1,East_landfill_gas_1,East_natural_gas_internal_combustion_engine_1,East_petroleum_liquids_with_gt_1,East_petroleum_liquids_with_ic_1,East_solar_photovoltaic_1,North_conventional_hydroelectric_1,North_landfill_gas_1,North_natural_gas_internal_combustion_engine_1,North_onshore_wind_turbine_1,North_petroleum_liquids_with_cc_1,North_petroleum_liquids_with_gt_1,North_petroleum_liquids_with_st_1,North_solar_photovoltaic_1,South_batteries_1,South_conventional_hydroelectric_1,South_natural_gas_fired_combined_cycle_1,South_natural_gas_steam_turbine_1,South_onshore_wind_turbine_1,South_petroleum_liquids_with_gt_1,South_petroleum_liquids_with_st_1,South_solar_photovoltaic_1,West_batteries_1,West_petroleum_liquids_with_gt_1,West_petroleum_liquids_with_ic_1,West_solar_photovoltaic_1,East_battery_moderate_0,East_naturalgas_ctavgcf_moderate_0,East_naturalgas_ccavgcf_moderate_0,East_microgrid_solar_moderate_0,East_microgrid_diesel_moderate_0,East_utilitypv_class1_moderate_1,East_landbasedwind_class3_moderate_1,North_battery_moderate_0,North_naturalgas_ctavgcf_moderate_0,North_naturalgas_ccavgcf_moderate_0,North_microgrid_solar_moderate_0,North_microgrid_diesel_moderate_0,North_utilitypv_class1_moderate_1,North_landbasedwind_class3_moderate_1,South_battery_moderate_0,South_naturalgas_ctavgcf_moderate_0,South_naturalgas_ccavgcf_moderate_0,South_microgrid_solar_moderate_0,South_microgrid_diesel_moderate_0,South_utilitypv_class1_moderate_1,South_landbasedwind_class3_moderate_1,West_battery_moderate_0,West_naturalgas_ctavgcf_moderate_0,West_naturalgas_ccavgcf_moderate_0,West_microgrid_solar_moderate_0,West_microgrid_diesel_moderate_0,West_utilitypv_class1_moderate_1,West_landbasedwind_class3_moderate_1,Total
t9,4.900882254596155e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.24879492443644e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5478955926402085,0.0,0.0,0.0,1.670266687501362e-8,0.0,0.0,0.0,0.0,0.0,0.0,8.327662680025941e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.9743469187105496e-8,0.0,0.0,0.0,0.0,0.0,0.0,1597.8970807448827,0.0,0.0,0.0,0.0,0.0,0.0,1602.4449764673955
t10,4.898512703411037e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.243371386931026e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.54789818425973,0.0,0.0,0.0,1.676982756999767e-8,0.0,0.0,0.0,0.0,0.0,0.0,8.058813655026582e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.9871500847410787e-8,0.0,0.0,0.0,0.0,0.0,0.0,1662.6726734210754,0.0,0.0,0.0,0.0,0.0,0.0,1667.2205717327065
t11,4.902869519477542e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2461455193875795e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.547898485849244,0.0,0.0,0.0,1.698619825572609e-8,0.0,0.0,0.0,0.0,0.0,0.0,7.81284780848172e-8,0.0,0.0,0.0,0.0,0.0,0.0,2.0019754817592875e-8,0.0,0.0,0.0,0.0,0.0,0.0,1714.3201358420254,0.0,0.0,0.0,0.0,0.0,0.0,1718.868034453158
t12,4.907310684337097e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2491543042548565e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.547898066079165,0.0,0.0,0.0,1.71298561727553e-8,0.0,0.0,0.0,0.0,0.0,0.0,7.65172533832128e-8,0.0,0.0,0.0,0.0,0.0,0.0,2.0048096504599344e-8,0.0,0.0,0.0,0.0,0.0,0.0,1676.2622186395527,0.0,0.0,0.0,0.0,0.0,0.0,1680.8101168294834
t13,4.910029152141599e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2508029975686674e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.547899280283249,0.0,0.0,0.0,1.7248076952673812e-8,0.0,0.0,0.0,0.0,0.0,0.0,7.446805363957226e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.9918318762713374e-8,0.0,0.0,0.0,0.0,0.0,0.0,1570.1079781672881,0.0,0.0,0.0,0.0,0.0,0.0,1574.6558775693668
t14,4.90799368988442e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2472803628140706e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.54789818760905,0.0,0.0,0.0,1.7397723481237116e-8,0.0,0.0,0.0,0.0,0.0,0.0,7.263917776376257e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.9948304585932443e-8,0.0,0.0,0.0,0.0,0.0,0.0,1453.80190762247,0.0,0.0,0.0,0.0,0.0,0.0,1458.3498059302196
t15,4.897618831111606e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.234545655259919e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.547878615401241,0.0,0.0,0.0,1.7507222699109572e-8,0.0,0.0,0.0,0.0,0.0,0.0,7.046893991898004e-8,0.0,0.0,0.0,0.0,0.0,0.0,2.0147625591478828e-8,0.0,0.0,0.0,0.0,0.0,0.0,1326.197648002435,0.0,0.0,0.0,0.0,0.0,0.0,1330.7455267360922
t16,4.877144169803504e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.21090831054303e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5478116351737095,0.0,0.0,0.0,1.743679307459647e-8,0.0,0.0,0.0,0.0,0.0,0.0,6.819892311215457e-8,0.0,0.0,0.0,0.0,0.0,0.0,2.033207616184021e-8,0.0,0.0,0.0,0.0,0.0,0.0,1175.0664677859108,0.0,0.0,0.0,0.0,0.0,0.0,1179.6142795371404
t17,4.896887085721647e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.232658180856799e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.547781007262286,0.0,0.0,0.0,1.7083551177864073e-8,0.0,0.0,0.0,0.0,0.0,0.0,7.935676013579097e-8,0.0,0.0,0.0,0.0,0.0,0.0,2.0124353341941836e-8,0.0,0.0,0.0,0.0,0.0,0.0,802.6307671708987,0.0,0.0,0.0,0.0,0.0,0.0,807.1785483048552
t18,4.946563042604794e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.288904288068794e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.547855182408698,0.0,0.0,0.0,1.6466808987062194e-8,0.0,0.0,0.0,0.0,0.0,0.0,9.01462254074713e-8,0.0,0.0,0.0,0.0,0.0,0.0,1.9175717044020155e-8,0.0,0.0,0.0,0.0,0.0,0.0,415.9096389407937,0.0,0.0,0.0,0.0,0.0,0.0,420.4574942592266
