Segment,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,Total
Zone,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,0
AnnualSum,1.1383156009481942e-8,1.2733939948421572e-8,2.18514025495957e-8,7.710727942950277e-8,1.1393646690305773e-8,1.2749917108072636e-8,2.1897960438288218e-8,7.760498184556009e-8,1.1367649609040838e-8,1.271320947710886e-8,2.1790978238018577e-8,7.639609172248034e-8,1.1381804922623173e-8,1.2728376559677045e-8,2.1837719913639753e-8,7.701714446890593e-8,4.919552589307231e-7
t1,1.1379118933905995e-8,1.2730114195254227e-8,2.184262628078342e-8,7.701737863238227e-8,1.1395205512449629e-8,1.2752579653345205e-8,2.1908972073341223e-8,7.778680921898122e-8,1.1363745093273873e-8,1.270970168785089e-8,2.1782871022731187e-8,7.630965803832286e-8,1.1378112345523692e-8,1.2725415953738007e-8,2.1830520251027023e-8,7.69360831804925e-8,4.918489120734032e-7
t2,1.1379579230539889e-8,1.2730470304077572e-8,2.1843091162274226e-8,7.701742037918793e-8,1.1395689728138486e-8,1.2753115746659724e-8,2.190987736871093e-8,7.778731206115477e-8,1.1364189435773347e-8,1.2710029943636393e-8,2.1783223821520797e-8,7.63099792228083e-8,1.1378505413727183e-8,1.2725646843116598e-8,2.183071806337326e-8,7.693580467226967e-8,4.91854653396969e-7
t3,1.1379670187028942e-8,1.273057699169514e-8,2.1843084305144995e-8,7.701595990184047e-8,1.1395797454455172e-8,1.2753256878708716e-8,2.191011348044152e-8,7.778647613997538e-8,1.1364268911569524e-8,1.271009072686122e-8,2.1783111598048664e-8,7.63083899202315e-8,1.1378577868470802e-8,1.2725630632424088e-8,2.18305922517088e-8,7.693358959743928e-8,4.918491868460442e-7
t4,1.1379686406891817e-8,1.2730555838487467e-8,2.1842835785466274e-8,7.701373729991149e-8,1.1395818983290821e-8,1.2753280929257931e-8,2.1910109387158674e-8,7.778530852196561e-8,1.1364281000926098e-8,1.2710043153738864e-8,2.1782838093890322e-8,7.630622802833443e-8,1.1378588955725035e-8,1.2725534520272342e-8,2.1830402828897763e-8,7.693104587622875e-8,4.918402956104437e-7
t5,1.1379634299054967e-8,1.2730510456574668e-8,2.1842647010195013e-8,7.701230347631035e-8,1.139576783635967e-8,1.2753228534879045e-8,2.1909985692210582e-8,7.778419271861251e-8,1.1364203863123053e-8,1.2709878342134595e-8,2.178235766824382e-8,7.630308657995985e-8,1.1378512363850055e-8,1.2725329264428936e-8,2.183009967918299e-8,7.692744369726213e-8,4.918291814823823e-7
t6,1.1379344548718105e-8,1.2730184754397276e-8,2.1841816076119177e-8,7.70077684297456e-8,1.1395478713130813e-8,1.2752919783312866e-8,2.1909394990978803e-8,7.778172233371678e-8,1.1363912783517287e-8,1.2709538443664786e-8,2.1781584755878586e-8,7.629839694647647e-8,1.1378221772359618e-8,1.272490824830227e-8,2.1829557893210095e-8,7.692131186059352e-8,4.918060623341221e-7
t7,1.1379088255047208e-8,1.2729860187777216e-8,2.1841038115313112e-8,7.700336188277381e-8,1.1395205940381574e-8,1.2752646616080601e-8,2.1908833590402072e-8,7.777902353566333e-8,1.1363666376629605e-8,1.2709190389965746e-8,2.178084597225376e-8,7.629359821192696e-8,1.1377975615056055e-8,1.2724486875330802e-8,2.182903577412767e-8,7.691529548520055e-8,4.917831528239301e-7
t8,1.137839903130565e-8,1.2729612225899438e-8,2.1840656767214498e-8,7.700265929581641e-8,1.1394740907642263e-8,1.2752136795579088e-8,2.190816313832413e-8,7.77783950082415e-8,1.1362915951153417e-8,1.2708994130436094e-8,2.1780554771213164e-8,7.629292156118595e-8,1.137723315905345e-8,1.2724350237159949e-8,2.182901291236576e-8,7.691469825176584e-8,4.917754441443566e-7
t9,1.1353994671160658e-8,1.2700261140750932e-8,2.175611972410871e-8,7.597590666402737e-8,1.137003288768236e-8,1.2721585743300045e-8,2.182028637390176e-8,7.671182211653847e-8,1.1338933918782089e-8,1.2680406658567157e-8,2.1698441920738077e-8,7.530344270212541e-8,1.135281795863504e-8,1.269533656803771e-8,2.1745433872684847e-8,7.588790736769265e-8,4.871127302887333e-7
t10,1.1351782250802819e-8,1.2698747728006172e-8,2.1753854752908407e-8,7.597562382147467e-8,1.1368279563104626e-8,1.2719538353115084e-8,2.181627923585555e-8,7.671080074732765e-8,1.133654005660274e-8,1.2679008399783679e-8,2.1696746789004928e-8,7.53028737164358e-8,1.1350511598406726e-8,1.269429160725995e-8,2.1744678313292222e-8,7.588817360238536e-8,4.870877305357664e-7
t11,1.1346861560817883e-8,1.2694355855294084e-8,2.174694175802788e-8,7.596062594665308e-8,1.1349108910161783e-8,1.2696148322621629e-8,2.175267517053359e-8,7.603084973596649e-8,1.133152631117097e-8,1.2674927964371021e-8,2.169105103469072e-8,7.528874741030274e-8,1.1331363254507329e-8,1.2672974944339376e-8,2.16883923489838e-8,7.523749295350835e-8,4.854940434819507e-7
t12,1.1346599802936192e-8,1.2694115953937217e-8,2.17465390645775e-8,7.595972611508247e-8,1.1348865016536913e-8,1.2695856610114601e-8,2.1752088036813283e-8,7.602827479052841e-8,1.1331274441421379e-8,1.2674709500512099e-8,2.169066981658534e-8,7.528807038786905e-8,1.1331112785459684e-8,1.2672792289209648e-8,2.1687975204982427e-8,7.523739774897889e-8,4.854860675655451e-7
t13,1.1350971153498628e-8,1.2698144088205839e-8,2.175311986992184e-8,7.597589202286985e-8,1.1367612982970732e-8,1.27187437097286e-8,2.1814804429412793e-8,7.671063265262198e-8,1.1335721318114758e-8,1.267846715310484e-8,2.1696192225489865e-8,7.530300916621771e-8,1.1349693947501847e-8,1.2693829800701533e-8,2.1744258857922898e-8,7.588771979632237e-8,4.87078813174606e-7
t14,1.1352884741253402e-8,1.2699718886054513e-8,2.1755791361959852e-8,7.597999565188172e-8,1.1369226568446451e-8,1.2720634883923763e-8,2.1818692434164e-8,7.671390685692049e-8,1.1337755222611166e-8,1.26799673486732e-8,2.1698306299595347e-8,7.530743319514908e-8,1.1351675859590747e-8,1.2695151568161144e-8,2.1745405996213608e-8,7.589339472797318e-8,4.871199416025716e-7
t15,1.1354250014154988e-8,1.2700740340782645e-8,2.175746141186575e-8,7.598245008021123e-8,1.1370394504885546e-8,1.2721935817638724e-8,2.1821194893333306e-8,7.671565749005506e-8,1.1339187680315973e-8,1.2680914085212431e-8,2.1699624639755788e-8,7.531024298825431e-8,1.13530794002284e-8,1.269598504715743e-8,2.1746139896805155e-8,7.5897326091919e-8,4.871465843825757e-7
t16,1.1355220112494577e-8,1.270134047650761e-8,2.1758314349068398e-8,7.598340619551661e-8,1.1371200173939598e-8,1.2722788040189104e-8,2.1822667462605568e-8,7.671654312876336e-8,1.1340200279447646e-8,1.2681438401281387e-8,2.17002594430958e-8,7.53112958802923e-8,1.1354056462365585e-8,1.2696353539499362e-8,2.1746438855012195e-8,7.589775681588838e-8,4.871592796159674e-7
t17,1.1379429919872058e-8,1.273059712514472e-8,2.184276549496012e-8,7.701133897478396e-8,1.139575377907742e-8,1.2753202783143879e-8,2.1910253804434198e-8,7.77839590952995e-8,1.1363946307286152e-8,1.270992551259919e-8,2.178235201457978e-8,7.630178845975022e-8,1.1378249902984454e-8,1.2725327654556884e-8,2.1830117549931865e-8,7.692595670627674e-8,4.918249650846812e-7
